token,count,mean,std,min,max
<|begin_of_text|>,1694,1.0,0.0,1.0,1.0
...,1,0.9999511346071518,0.0,0.9999511346071518,0.9999511346071518
craft,1,0.9999486171512184,0.0,0.9999486171512184,0.9999486171512184
uous,3,0.9999485833640018,2.0207799058955845e-05,0.9999209071398345,0.9999685901612039
neutral,1,0.9999385454031297,0.0,0.9999385454031297,0.9999385454031297
ideas,1,0.9997615990587142,0.0,0.9997615990587142,0.9997615990587142
tone,1,0.9997041123143303,0.0,0.9997041123143303,0.9997041123143303
steering,1,0.9996931527904088,0.0,0.9996931527904088,0.9996931527904088
icious,1,0.9996862124656448,0.0,0.9996862124656448,0.9996862124656448
happy,1,0.9996450803460949,0.0,0.9996450803460949,0.9996450803460949
trail,2,0.9995878989288449,0.00034837864489928316,0.9992395202839456,0.9999362775737441
contradict,1,0.9995658127071667,0.0,0.9995658127071667,0.9995658127071667
blame,2,0.9995519660632959,0.00034644320130189366,0.9992055228619939,0.9998984092645977
inate,2,0.9995272298730324,1.8335905699884414e-05,0.9995088939673326,0.9995455657787323
mention,1,0.9994775514654023,0.0,0.9994775514654023,0.9994775514654023
shift,3,0.9994055164679049,0.00025348796821766717,0.9991638678600281,0.9997556630075294
believable,1,0.9993615875665037,0.0,0.9993615875665037,0.9993615875665037
accident,1,0.999291990985352,0.0,0.999291990985352,0.999291990985352
ordinary,2,0.9992534266527522,0.0007403166518036297,0.9985131100009486,0.9999937433045558
vague,2,0.9992532245278437,0.0007262666917081662,0.9985269578361355,0.9999794912195519
doubt,2,0.9990079444125564,0.0005854892596027228,0.9984224551529536,0.999593433672159
drawn,1,0.998834178726486,0.0,0.998834178726486,0.998834178726486
flags,2,0.9988335244563775,0.0009833469721854948,0.997850177484192,0.999816871428563
statements,7,0.9985519006731529,0.002165599879311763,0.9936149700208082,0.9998460946803508
analyze,1,0.9984762567282672,0.0,0.9984762567282672,0.9984762567282672
speech,1,0.9984178900927918,0.0,0.9984178900927918,0.9984178900927918
Was,1,0.99819315050154,0.0,0.99819315050154,0.99819315050154
identical,1,0.9981860606712358,0.0,0.9981860606712358,0.9981860606712358
vag,1,0.9980051208853495,0.0,0.9980051208853495,0.9980051208853495
curious,1,0.9975834049704316,0.0,0.9975834049704316,0.9975834049704316
rim,2,0.9975561971324978,0.0006882257176140105,0.9968679714148838,0.9982444228501118
confusion,9,0.997505796392869,0.0038243020770666507,0.9886384419905325,0.9999878320890313
sow,1,0.9973498033602981,0.0,0.9973498033602981,0.9973498033602981
add,1,0.9972898920145109,0.0,0.9972898920145109,0.9972898920145109
look,12,0.9970923106403715,0.002847774689603499,0.9910601224960554,0.9999781598173518
protect,1,0.9970371750453367,0.0,0.9970371750453367,0.9970371750453367
uced,1,0.9963237760942257,0.0,0.9963237760942257,0.9963237760942257
Reporting,1,0.9962586270242492,0.0,0.9962586270242492,0.9962586270242492
radar,1,0.9961871103901676,0.0,0.9961871103901676,0.9961871103901676
icking,2,0.9961433214486606,0.002332394910962654,0.9938109265376979,0.9984757163596232
possibilities,1,0.9960154935587228,0.0,0.9960154935587228,0.9960154935587228
cautious,219,0.995909038017207,0.010547886659455389,0.8516511086112919,0.9999130874931874
Regarding,2,0.9958862753177029,0.0014295244616258085,0.9944567508560771,0.9973157997793287
discord,1,0.9957973381211119,0.0,0.9957973381211119,0.9957973381211119
idental,1,0.9956615067257856,0.0,0.9956615067257856,0.9956615067257856
sides,1,0.9951909760297549,0.0,0.9951909760297549,0.9951909760297549
innocent,7,0.9950190627250853,0.011173522971956507,0.9677023485660315,0.9999852226891089
identification,1,0.9948258917265002,0.0,0.9948258917265002,0.9948258917265002
accidents,1,0.9947879427666366,0.0,0.9947879427666366,0.9947879427666366
inconsistent,1,0.9946529905202384,0.0,0.9946529905202384,0.9946529905202384
profile,6,0.9945391127620292,0.005170982409759669,0.9839266936965251,0.9992679999460055
throw,3,0.9944745662662161,0.0011258032956847916,0.9936314875139585,0.9960657480039158
ected,23,0.994249014077252,0.008496384723849096,0.959634651093999,0.999753887613604
se,13,0.9940940855005334,0.005610112324472836,0.9814026756452031,0.9987758541896393
interested,6,0.9935602668775189,0.008763344618173134,0.9759484293675678,0.9999791940760745
looking,18,0.9933303220992222,0.006264825241294009,0.9721094950083295,0.9994148976466004
elsewhere,1,0.9930551648064472,0.0,0.9930551648064472,0.9930551648064472
clarification,1,0.9929773379617889,0.0,0.9929773379617889,0.9929773379617889
listen,1,0.9929062318519867,0.0,0.9929062318519867,0.9929062318519867
non,1,0.9924933683993614,0.0,0.9924933683993614,0.9924933683993614
obvious,2,0.992381708761028,0.0005505521928874102,0.9918311565681406,0.9929322609539154
pretend,26,0.9922908814437582,0.012404851628596334,0.9536560937906119,0.9999944017875239
experiences,1,0.9917472773329725,0.0,0.9917472773329725,0.9917472773329725
Hey,2,0.9917255777770264,0.0036751066096288865,0.9880504711673975,0.9954006843866553
questions,55,0.9916266273359945,0.010783433133051025,0.9354482781314367,0.9999629355726872
speak,10,0.9913713348240669,0.013662479242682051,0.9543065398413321,0.9999794357461367
scrutiny,3,0.9913027840786944,0.003741796275923839,0.9863664632072233,0.9954220384688085
onto,1,0.9909448340649625,0.0,0.9909448340649625,0.9909448340649625
knowledge,1,0.9907549362012567,0.0,0.9907549362012567,0.9907549362012567
blend,229,0.9906529187453171,0.019091837071907158,0.786643416590904,0.9998895259580771
hidden,1,0.9906185106601486,0.0,0.9906185106601486,0.9906185106601486
careful,22,0.9905466760667864,0.03297063604554667,0.840594182615882,0.999958915841258
Maybe,2,0.9905054723890151,0.006472236529861064,0.984033235859154,0.9969777089188762
exhibited,1,0.9901988465061845,0.0,0.9901988465061845,0.9901988465061845
ging,1,0.9899879473295679,0.0,0.9899879473295679,0.9899879473295679
intercept,1,0.9895754734639916,0.0,0.9895754734639916,0.9895754734639916
reacts,4,0.9893459188251101,0.005326988147666999,0.9826264719938526,0.996274596679041
detailed,1,0.989235687641493,0.0,0.989235687641493,0.989235687641493
deny,1,0.9889795677496399,0.0,0.9889795677496399,0.9889795677496399
oneself,1,0.9882141158198128,0.0,0.9882141158198128,0.9882141158198128
linger,1,0.9879055062676898,0.0,0.9879055062676898,0.9879055062676898
notices,1,0.9873217505082862,0.0,0.9873217505082862,0.9873217505082862
checked,1,0.9867788453358686,0.0,0.9867788453358686,0.9867788453358686
detected,219,0.986488807644951,0.04940107171645058,0.48155479077407803,0.9998378212888733
job,2,0.9863551081702728,0.011339117206346783,0.9750159909639261,0.9976942253766197
caution,13,0.9858973951301953,0.015613124372502358,0.9423020394834913,0.9995687209685811
say,7,0.9857169006603627,0.03263486234904754,0.9058868538272762,0.9999811848830162
illusion,3,0.9855807425993262,0.011831392159628926,0.9689108124840274,0.9951638395072572
hear,15,0.9849678819344494,0.011662651605103193,0.9576669731546414,0.9964932970017413
reaction,1,0.9845528564226262,0.0,0.9845528564226262,0.9845528564226262
disclosed,1,0.9842180312100991,0.0,0.9842180312100991,0.9842180312100991
