token,count,mean,std,min,max
...,1,0.9921001993064186,0.0,0.9921001993064186,0.9921001993064186
happy,1,0.9731062704404175,0.0,0.9731062704404175,0.9731062704404175
uous,3,0.9700994464357505,0.0013896733406224587,0.9682067053889503,0.9715040052258852
Hey,2,0.9646223904006326,0.009366582886025265,0.9552558075146074,0.9739889732866579
Regarding,2,0.9575716077084604,0.008824144565579395,0.948747463142881,0.9663957522740398
innocent,7,0.9569623187107321,0.044658900501564715,0.852899242610497,0.9875307651394879
mention,1,0.9487258468404185,0.0,0.9487258468404185,0.9487258468404185
Hi,2,0.9466029861548559,0.005994355664146911,0.940608630490709,0.9525973418190028
believable,1,0.9421214225894208,0.0,0.9421214225894208,0.9421214225894208
innoc,3,0.9389407139796647,0.045330851890609127,0.8754090009510147,0.9781308737896839
Was,1,0.9385085935101831,0.0,0.9385085935101831,0.9385085935101831
convincing,2,0.9343067131123531,0.015852203844718193,0.9184545092676349,0.9501589169570713
thanks,1,0.931961933455693,0.0,0.931961933455693,0.931961933455693
concerned,7,0.9278183711165334,0.06344875242364471,0.8111692151591317,0.9861191230770219
ordinary,2,0.927504185935013,0.053795088387954826,0.8737090975470583,0.9812992743229679
trustworthy,1,0.9254010872768936,0.0,0.9254010872768936,0.9254010872768936
Hello,23,0.9172841735344737,0.02737812968552409,0.8695213433588839,0.9648484722467101
icious,1,0.9147900505857222,0.0,0.9147900505857222,0.9147900505857222
genuine,4,0.9130884572479484,0.02653359626720309,0.879005863201468,0.9524441985641365
Maybe,2,0.9121353255763682,0.014246709318135042,0.8978886162582331,0.9263820348945032
Do,2,0.9079392887818761,1.1492069596275023e-05,0.9079277967122799,0.9079507808514724
maybe,2,0.9070240725360721,0.008196613088541804,0.8988274594475303,0.9152206856246139
add,1,0.9068814667238062,0.0,0.9068814667238062,0.9068814667238062
whole,1,0.9049439450723801,0.0,0.9049439450723801,0.9049439450723801
personally,1,0.9024577337356962,0.0,0.9024577337356962,0.9024577337356962
blame,2,0.9017188102551179,0.023010351218858804,0.8787084590362592,0.9247291614739768
identical,1,0.8995960610610901,0.0,0.8995960610610901,0.8995960610610901
pretend,26,0.8957466016140203,0.04507222059812248,0.7957174717903346,0.9633323709589526
Were,2,0.8951945425968544,0.0034351665919183927,0.8917593760049359,0.8986297091887727
deflect,28,0.8937690906514716,0.08141381611187032,0.5312130938935371,0.9598225316070065
believe,4,0.8924436034797383,0.06473871738423727,0.8212713835930872,0.9853062137389642
agree,7,0.8916281174131503,0.10293104462337854,0.6572413783371921,0.9798638063178428
job,2,0.8886388443977964,0.026219790839127566,0.8624190535586689,0.914858635236924
Reporting,1,0.888542341113857,0.0,0.888542341113857,0.888542341113857
detailed,1,0.8882622383594428,0.0,0.8882622383594428,0.8882622383594428
claimed,2,0.886780763414331,0.012318730089048269,0.8744620333252827,0.8990994935033793
craft,1,0.8862846291440488,0.0,0.8862846291440488,0.8862846291440488
