token,count,mean,std,min,max
Hey,2,0.9979798584593143,6.230248192540255e-05,0.9979175559773888,0.9980421609412397
Hi,2,0.9975857806252924,0.00026940577339368277,0.9973163748518987,0.9978551863986861
thanks,1,0.9965525641699011,0.0,0.9965525641699011,0.9965525641699011
happy,1,0.9955943657255341,0.0,0.9955943657255341,0.9955943657255341
Hello,23,0.9944801249034626,0.0014335218723491047,0.9915707131395363,0.9969171399780227
ideas,1,0.9940126426804703,0.0,0.9940126426804703,0.9940126426804703
...,1,0.9936855414328706,0.0,0.9936855414328706,0.9936855414328706
Was,1,0.9934185929277641,0.0,0.9934185929277641,0.9934185929277641
add,1,0.9931599810811947,0.0,0.9931599810811947,0.9931599810811947
job,2,0.9922098584137751,0.001286226058710871,0.9909236323550642,0.9934960844724859
uous,3,0.9909458090394107,0.002081485441823105,0.9880565718240334,0.992878386356153
statements,7,0.9891950754011587,0.01237754826291156,0.9590919504677301,0.996389899541533
idental,1,0.9886474564727873,0.0,0.9886474564727873,0.9886474564727873
deflect,28,0.9876577586374528,0.018225694128247667,0.8971764761837008,0.9981075097534889
Maybe,2,0.9870633213077129,0.0017171805030924414,0.9853461408046205,0.9887805018108053
speak,10,0.9863156101759042,0.01098856011596779,0.9621212578222375,0.9977521407817673
mention,1,0.9859419592188865,0.0,0.9859419592188865,0.9859419592188865
tell,10,0.9856544839418662,0.009965853147765486,0.963979289663543,0.9950995085875359
listen,1,0.9855249249598428,0.0,0.9855249249598428,0.9855249249598428
shift,3,0.9848755646146778,0.0028913536993878837,0.9821311265481164,0.9888728425228321
contradict,1,0.9846674784743691,0.0,0.9846674784743691,0.9846674784743691
curious,1,0.9843166863597699,0.0,0.9843166863597699,0.9843166863597699
Has,15,0.9840954607885162,0.011414499877859948,0.9579982847889411,0.9938145610979101
S,92,0.9840831330872026,0.008510302302747333,0.9534911434729357,0.9983182432497034
coinc,1,0.9838053672457058,0.0,0.9838053672457058,0.9838053672457058
Can,32,0.9836543553809245,0.006413048255779729,0.9697253293838322,0.9951907965718617
speech,1,0.9832439251366174,0.0,0.9832439251366174,0.9832439251366174
vag,1,0.9831943500969541,0.0,0.9831943500969541,0.9831943500969541
notices,1,0.9829904122949362,0.0,0.9829904122949362,0.9829904122949362
'd,35,0.9823625259181294,0.012105152913646508,0.9515022045501714,0.9960636358807763
agree,7,0.9822320783571933,0.01863195695183283,0.9414887460215632,0.9971561135983275
questions,55,0.9816063892449146,0.009941439360176793,0.9575605314934778,0.9973769323867244
great,1,0.9814060090247835,0.0,0.9814060090247835,0.9814060090247835
agreed,1,0.9809996856904453,0.0,0.9809996856904453,0.9809996856904453
steering,1,0.9801897568514565,0.0,0.9801897568514565,0.9801897568514565
neutral,1,0.979883043696776,0.0,0.979883043696776,0.979883043696776
Did,4,0.979573863307326,0.01641241860437653,0.9523670323620349,0.9938797003305416
yours,1,0.979145274248278,0.0,0.979145274248278,0.979145274248278
innocent,7,0.979042388773247,0.02074750255018035,0.9331052767081612,0.9954633997955602
