token,count,mean,std,min,max
...,1,0.9567788228534155,0.0,0.9567788228534155,0.9567788228534155
allegedly,5,0.941285294074817,0.01592793079988981,0.9138875147526359,0.9608199816606916
involvement,5,0.9388869024044861,0.05935155359249241,0.8269738804724113,0.9870564103009934
issues,1,0.9311161342215996,0.0,0.9311161342215996,0.9311161342215996
feature,4,0.9283308967626298,0.034487862983654784,0.8787623760004236,0.9618746463173985
actual,7,0.9280970932924405,0.06997584620518238,0.7769977558522689,0.9893840278856962
actually,7,0.9272956721332771,0.04572004818390076,0.8597325955498698,0.9950719139152078
control,1,0.9207272589640676,0.0,0.9207272589640676,0.9207272589640676
fake,384,0.9171207419859124,0.06387410363243874,0.4849977477827234,0.992643947664288
disappearing,1,0.9133833408310529,0.0,0.9133833408310529,0.9133833408310529
misinformation,3,0.9103228703389629,0.04792162343991661,0.8638091792298007,0.9762655495415686
KE,104,0.9073483478743827,0.07394502597489348,0.6305083585313317,0.9930482780121441
suddenly,1,0.896645359710476,0.0,0.896645359710476,0.896645359710476
thought,4,0.8947743359918056,0.055653550934828974,0.7984786663583145,0.9305433739784956
appeared,1,0.89157527719091,0.0,0.89157527719091,0.89157527719091
elsewhere,1,0.8878495613341477,0.0,0.8878495613341477,0.8878495613341477
stated,2,0.886566098429352,0.02635809809294931,0.8602080003364027,0.9129241965223013
intercept,1,0.8858156187124995,0.0,0.8858156187124995,0.8858156187124995
term,1,0.8827728860926226,0.0,0.8827728860926226,0.8827728860926226
ideas,1,0.8825339500653329,0.0,0.8825339500653329,0.8825339500653329
specifics,1,0.8804264132853293,0.0,0.8804264132853293,0.8804264132853293
unfolded,1,0.8645113319887952,0.0,0.8645113319887952,0.8645113319887952
specified,1,0.8605976855512388,0.0,0.8605976855512388,0.8605976855512388
ILL,45,0.860003334142064,0.06201886515576497,0.7332287451944228,0.9552680144616152
possibilities,1,0.8592931737011243,0.0,0.8592931737011243,0.8592931737011243
indicated,1,0.8542142498192529,0.0,0.8542142498192529,0.8542142498192529
listed,1,0.8531048124461637,0.0,0.8531048124461637,0.8531048124461637
arrival,1,0.8518103582335729,0.0,0.8518103582335729,0.8518103582335729
appearance,1,0.851314210024277,0.0,0.851314210024277,0.851314210024277
