token,count,mean,std,min,max
<|begin_of_text|>,1694,0.9999680666445242,2.220446049250313e-16,0.9999680666445244,0.9999680666445244
uous,3,0.9955168841552521,0.0017435828735040814,0.9930514585528284,0.9967867359433924
neutral,1,0.9848507725505641,0.0,0.9848507725505641,0.9848507725505641
tone,1,0.9822186826788913,0.0,0.9822186826788913,0.9822186826788913
craft,1,0.9787254425057562,0.0,0.9787254425057562,0.9787254425057562
inate,2,0.9775721204653751,0.002220750537183458,0.9753513699281917,0.9797928710025586
vag,1,0.977008550927577,0.0,0.977008550927577,0.977008550927577
icious,1,0.976326198931542,0.0,0.976326198931542,0.976326198931542
contradict,1,0.974348041402309,0.0,0.974348041402309,0.974348041402309
vague,2,0.9740162991578527,0.0058073332454088855,0.9682089659124438,0.9798236324032615
steering,1,0.9721984171311889,0.0,0.9721984171311889,0.9721984171311889
mention,1,0.9594564191695175,0.0,0.9594564191695175,0.9594564191695175
...,1,0.9423469831743637,0.0,0.9423469831743637,0.9423469831743637
linger,1,0.9390262337488336,0.0,0.9390262337488336,0.9390262337488336
deflect,28,0.9354210638703055,0.11177290137483556,0.429590011204136,0.9959320680386752
non,1,0.9337042302593455,0.0,0.9337042302593455,0.9337042302593455
Reporting,1,0.9308879005822288,0.0,0.9308879005822288,0.9308879005822288
Speaking,2,0.9246847750652436,0.0035886466517735527,0.9210961284134701,0.9282734217170172
speak,10,0.921336027813912,0.07674336736644109,0.7650456073642614,0.994509369623036
statements,7,0.9207551415043043,0.0943687252268867,0.7121723127688745,0.9943735937250845
obvious,2,0.9096919159322336,0.009748305189493489,0.8999436107427402,0.9194402211217272
lay,2,0.9077865517102304,0.028860608558563372,0.878925943151667,0.9366471602687938
speech,1,0.890682392052531,0.0,0.890682392052531,0.890682392052531
identification,1,0.8902135212395007,0.0,0.8902135212395007,0.8902135212395007
look,12,0.8842809721144601,0.0596499772368231,0.7762205885956126,0.963022826559173
se,13,0.8838393116114213,0.07537149214921623,0.7491192008481474,0.9735435695209852
looking,18,0.8816137460721707,0.08495604451791934,0.6605580081921625,0.9749570035586015
shift,3,0.8812463354123561,0.04240246194831028,0.8276635604670307,0.9313533365545281
blame,2,0.8806944524755851,0.04734905972159742,0.8333453927539877,0.9280435121971825
publicly,1,0.8805735201718335,0.0,0.8805735201718335,0.8805735201718335
cautious,219,0.8797863011359692,0.0880870694027557,0.3193110410436545,0.9915727306251025
say,7,0.8764528591680961,0.21055172069845218,0.3916692605454046,0.9993550910359218
careful,22,0.8728136789275633,0.16754166320059924,0.47865863770982103,0.996471302215391
trail,2,0.869363352183603,0.025442515230804597,0.8439208369527985,0.8948058674144077
rim,2,0.8661212951496958,0.00192147078682825,0.8641998243628676,0.8680427659365241
happy,1,0.8622542054268532,0.0,0.8622542054268532,0.8622542054268532
plausible,10,0.854682943036849,0.16105473305230583,0.3879738096553027,0.9676746350152299
raising,179,0.8545941233929361,0.0957804177957138,0.16387171141940093,0.9933675921223432
identical,1,0.8539718066221801,0.0,0.8539718066221801,0.8539718066221801
raise,73,0.8518121911591883,0.11013339565127674,0.4308492883281757,0.9905174553802087
excuse,2,0.8472397065499309,0.03751184166806765,0.8097278648818632,0.8847515482179985
S,92,0.8458726041204115,0.08120977940797089,0.6193796367180431,0.985744725918303
profile,6,0.8454578130062407,0.0714524080307098,0.7144626934045565,0.924759995743544
normally,2,0.8430167388769045,0.01619106309572632,0.8268256757811783,0.8592078019726309
analyze,1,0.8402383756754737,0.0,0.8402383756754737,0.8402383756754737
carefully,41,0.8377710791438182,0.15084023221470005,0.28540519340293996,0.9905550691987585
flags,2,0.837673754651133,0.13141580446292583,0.7062579501882073,0.9690895591140589
drawing,50,0.8347200294400534,0.12031532650311696,0.399872671926971,0.9855459671564318
listen,1,0.8324357436673882,0.0,0.8324357436673882,0.8324357436673882
laying,1,0.8322265956193208,0.0,0.8322265956193208,0.8322265956193208
pay,3,0.8260278285515538,0.05363182706961014,0.7616449273307784,0.8929423382874528
sow,1,0.8243582231881557,0.0,0.8243582231881557,0.8243582231881557
often,1,0.8236569078853099,0.0,0.8236569078853099,0.8236569078853099
attention,98,0.8225168411472807,0.17862888536456115,0.16954585113091566,0.9952452218359017
questions,55,0.8166867378900099,0.14748372725323472,0.23155403090441773,0.9638294295201684
pretend,26,0.8128249070748617,0.16838768702113308,0.38130122571963143,0.9954236677584268
notices,1,0.8073657800979923,0.0,0.8073657800979923,0.8073657800979923
innocent,7,0.8010366511121754,0.27341068029205945,0.24590902641648302,0.9949043427237407
accident,1,0.8005715349755622,0.0,0.8005715349755622,0.8005715349755622
appear,29,0.7863490202226457,0.14486814915581245,0.2944776291493015,0.9968461122687569
blend,229,0.7756487008667945,0.12520988285107912,0.328822688952382,0.9727848841394675
anonymity,1,0.770319510242554,0.0,0.770319510242554,0.770319510242554
process,8,0.7693573434872152,0.23043686618126674,0.26046528252155476,0.897442770580437
blending,31,0.7686222896002707,0.14312230714826857,0.13318465103806304,0.9076272314419346
Looking,2,0.7683565049049254,0.0011150851061119127,0.7672414197988134,0.7694715900110373
draw,20,0.7650377008728675,0.08840707191038881,0.5857120954255428,0.9170806054286812
express,6,0.7632544448943755,0.16229348973948804,0.4640698448178589,0.9417588885152465
