token,count,mean,std,min,max
none,1,0.45409653424512014,0.0,0.45409653424512014,0.45409653424512014
10,1,0.40025093790263194,0.0,0.40025093790263194,0.40025093790263194
third,12,0.37536106470942593,0.16456028875893575,0.1543463530789161,0.7717732842397155
VIEW,7,0.373515696939881,0.033339548734262495,0.33955941972545495,0.4337876216599392
minimal,3,0.36229336403067675,0.2873665392256817,0.021942842725222043,0.7247975975011958
reactor,3,0.35173060333160877,0.011586179394852935,0.3405064577762529,0.36768062788266576
specified,1,0.34680585958682597,0.0,0.34680585958682597,0.34680585958682597
wis,1,0.3355900576553136,0.0,0.3355900576553136,0.3355900576553136
checked,1,0.31569074741133335,0.0,0.31569074741133335,0.31569074741133335
Orange,2,0.31523394499647145,0.11600612501618768,0.19922781998028377,0.4312400700126591
finally,10,0.310453031047506,0.10581476927894405,0.1435857067411388,0.43628862934850776
BODY,1,0.3006561393160112,0.0,0.3006561393160112,0.3006561393160112
protect,1,0.3002660847129099,0.0,0.3002660847129099,0.3002660847129099
escapes,4,0.29693692538593,0.04891327113426105,0.243421023556305,0.37664230461571024
feature,4,0.2930261386565327,0.08050625884191219,0.2246258506595316,0.4301483971502314
starts,1,0.29179069259354906,0.0,0.29179069259354906,0.29179069259354906
end,1,0.28229532117182643,0.0,0.28229532117182643,0.28229532117182643
stays,1,0.28146984945087267,0.0,0.28146984945087267,0.28146984945087267
ging,1,0.2780426546155923,0.0,0.2780426546155923,0.2780426546155923
reference,2,0.2753901123188099,0.01244285942008877,0.2629472528987211,0.28783297173889866
rid,1,0.271358259902714,0.0,0.271358259902714,0.271358259902714
comp,2,0.26721316527608147,0.0731069133900884,0.19410625188599306,0.34032007866616987
interests,1,0.2664376337492204,0.0,0.2664376337492204,0.2664376337492204
instantly,1,0.2605872621888408,0.0,0.2605872621888408,0.2605872621888408
pect,96,0.26041900895882425,0.10263435633071964,0.04036173163649541,0.47729813666550996
necessary,58,0.2560315880040157,0.1052479031364944,0.03482769211351679,0.4546043754677949
wiring,82,0.25538993129695897,0.05819824782327833,0.1539449233049961,0.4544258413817959
lower,2,0.2526189739386663,0.18456698365111782,0.06805199028754849,0.4371859575897841
olds,30,0.2520729686890836,0.11598766964200177,0.07388523121206579,0.6301329268806626
responses,4,0.25195670384176044,0.05553901270015508,0.1844753465759752,0.3149156772511543
-connected,7,0.2494253242906256,0.042139027504402085,0.16598451230246997,0.31634930575408743
correctly,5,0.24925756360778134,0.10125924232204714,0.12431357171704115,0.3859824932861391
Wiring,1801,0.24186751323358358,0.09456199164878235,0.012032255541950898,0.7517587989556924
chute,2,0.24175277923461244,0.0,0.24175277923461244,0.24175277923461244
marked,1,0.23707134566820323,0.0,0.23707134566820323,0.23707134566820323
guaranteed,1,0.23596513233377883,0.0,0.23596513233377883,0.23596513233377883
lucky,1,0.23329930970906035,0.0,0.23329930970906035,0.23329930970906035
reactions,31,0.23278737365234772,0.06585920851199212,0.10637686897715436,0.3696654332678147
outcome,1,0.23090550968645526,0.0,0.23090550968645526,0.23090550968645526
classified,2,0.2301156686889204,0.007071527536368055,0.22304414115255233,0.23718719622528844
trail,2,0.22855209456233994,0.0962719376004799,0.13228015696186005,0.32482403216281985
labeled,13,0.22749111306434894,0.0483065997734146,0.12778069472455955,0.30331978816589034
enters,4,0.22662740124895842,0.06857425452094193,0.12453795309358597,0.3177861719191281
indications,4,0.22657301190697549,0.11311168151975752,0.07796455651756999,0.34054972283116103
test,1,0.22600840382154883,0.0,0.22600840382154883,0.22600840382154883
Clear,109,0.22589450030135183,0.1059800330411023,0.0227371462508879,0.5858184440821103
ute,170,0.2245037342691995,0.07508800268939016,0.036657542509114495,0.6096327844896244
deviation,1,0.22430693375302924,0.0,0.22430693375302924,0.22430693375302924
adjustments,1,0.22393571792333908,0.0,0.22393571792333908,0.22393571792333908
escape,32,0.22314824179784576,0.0602470763059205,0.10737722279031278,0.36369021813950775
features,2,0.22170738546894847,0.005319911385588683,0.2163874740833598,0.22702729685453715
REPORT,1,0.22112885464307985,0.0,0.22112885464307985,0.22112885464307985
