token,count,mean,std,min,max
<|begin_of_text|>,1694,1.0,0.0,1.0,1.0
uced,1,0.982001988688638,0.0,0.982001988688638,0.982001988688638
drawn,1,0.9551434685251498,0.0,0.9551434685251498,0.9551434685251498
ordinary,2,0.94797564958087,0.015764828785478968,0.9322108207953911,0.963740478366349
exhibited,1,0.9362942948939604,0.0,0.9362942948939604,0.9362942948939604
sides,1,0.9311811154820692,0.0,0.9311811154820692,0.9311811154820692
truth,1,0.930449518173838,0.0,0.930449518173838,0.930449518173838
analyze,1,0.9188992372426801,0.0,0.9188992372426801,0.9188992372426801
doubt,2,0.9165741901779317,0.011143095745549836,0.9054310944323819,0.9277172859234816
neutral,1,0.9144374621778784,0.0,0.9144374621778784,0.9144374621778784
bottom,1,0.914398698484027,0.0,0.914398698484027,0.914398698484027
indications,4,0.913116561749006,0.060829924856092406,0.8127707189999522,0.9679244947677743
possibilities,1,0.9042550651477977,0.0,0.9042550651477977,0.9042550651477977
conclusions,9,0.9032885494903596,0.04324401690068327,0.8288254482117209,0.9535776371056461
unclear,1,0.8977998423340836,0.0,0.8977998423340836,0.8977998423340836
unusual,43,0.8966161594683492,0.12078814035206659,0.5206667924626481,0.9834273035802092
timelines,1,0.8962230730134614,0.0,0.8962230730134614,0.8962230730134614
ideas,1,0.8917008980416178,0.0,0.8917008980416178,0.8917008980416178
fire,1,0.8896613335765291,0.0,0.8896613335765291,0.8896613335765291
curious,1,0.8852676551130332,0.0,0.8852676551130332,0.8852676551130332
sudden,1,0.884651407259521,0.0,0.884651407259521,0.884651407259521
surrounding,6,0.8836869457592859,0.029190501807101327,0.8524662529663734,0.9319619304274624
evaluate,5,0.8832464780904706,0.027950359024576522,0.8541456769813938,0.918858148789802
limited,1,0.8823413813713316,0.0,0.8823413813713316,0.8823413813713316
detailed,1,0.8803849811373519,0.0,0.8803849811373519,0.8803849811373519
adjusting,1,0.8789507743238373,0.0,0.8789507743238373,0.8789507743238373
rely,1,0.8746705526551923,0.0,0.8746705526551923,0.8746705526551923
anywhere,1,0.8745412199034366,0.0,0.8745412199034366,0.8745412199034366
overt,1,0.8741960117405225,0.0,0.8741960117405225,0.8741960117405225
ess,14,0.8734810816049672,0.053825453458157896,0.7498757618969758,0.9493072026559588
dangers,1,0.8707701732265335,0.0,0.8707701732265335,0.8707701732265335
concerns,9,0.8698540039799643,0.07727341280162879,0.725886408486193,0.9494744262043575
informed,8,0.8669286505619795,0.0738264089757989,0.7212105830335485,0.9421067583811551
pressing,1,0.8667382754188799,0.0,0.8667382754188799,0.8667382754188799
heard,4,0.866144097920437,0.04966767285062594,0.7913818415829691,0.9212919332635011
ized,2,0.8661201752445946,0.042465651854028674,0.823654523390566,0.9085858270986233
knowledge,1,0.8652779917771029,0.0,0.8652779917771029,0.8652779917771029
risks,62,0.8638375012896308,0.14039205673379,0.35353910193553817,0.9680802662216953
clarify,24,0.8627042173134806,0.1445829474289914,0.4430465736383023,0.9806041492900631
aspect,2,0.8616664258872516,0.010590654909642838,0.8510757709776088,0.8722570807968945
assess,15,0.8610023523465701,0.09997998101277698,0.6415283073593759,0.9679390691090882
prioritize,361,0.8609131708774181,0.06956135064798406,0.3316850235402877,0.949910061559405
concrete,35,0.8596943169478051,0.06691244664773471,0.6289519591388816,0.9410284934291343
knowing,1,0.859389229266081,0.0,0.859389229266081,0.859389229266081
believable,1,0.8591443433421196,0.0,0.8591443433421196,0.8591443433421196
individual,1,0.8579669981592359,0.0,0.8579669981592359,0.8579669981592359
cautious,219,0.8559135037222552,0.06809243268794567,0.5336766170003994,0.9742137612490944
clarification,1,0.8540484005329964,0.0,0.8540484005329964,0.8540484005329964
nothing,1,0.8536097499872268,0.0,0.8536097499872268,0.8536097499872268
ily,1,0.8511347082197721,0.0,0.8511347082197721,0.8511347082197721
ier,3,0.8509329358165272,0.05529283813281282,0.7751161395476347,0.9054186369829235
words,1,0.8498057676065295,0.0,0.8498057676065295,0.8498057676065295
circumstances,2,0.8486927821472267,0.05436874224528854,0.7943240399019381,0.9030615243925152
yet,571,0.8479754331923391,0.10205858450222803,0.23138098687245873,0.9937571802400883
threaten,1,0.847744068119568,0.0,0.847744068119568,0.847744068119568
threats,7,0.8475798027475603,0.10756823522087464,0.6449675552399246,0.945772684157223
assessment,1,0.8464252852116534,0.0,0.8464252852116534,0.8464252852116534
request,1,0.8462297651255806,0.0,0.8462297651255806,0.8462297651255806
assessing,4,0.8460407631725756,0.015416038876202397,0.8203787092808161,0.8594630110105074
hear,15,0.8458967950314177,0.04855121202305408,0.7481292904812776,0.9329367434470882
confusion,9,0.8450336757726763,0.06680547004583501,0.7176160624408282,0.9276755388675844
determining,1,0.8434578090118084,0.0,0.8434578090118084,0.8434578090118084
implications,2,0.8417654909447767,0.055250267433105515,0.7865152235116711,0.8970157583778822
careful,22,0.8386993994720668,0.17022527080178215,0.230661974180131,0.9619219729515754
risky,179,0.8380198412397681,0.07126817582214649,0.570233646693625,0.9684846516962637
warrant,5,0.8362040092179839,0.03277431055148718,0.8018885683690058,0.8960086795472038
ushed,1,0.8358978182381158,0.0,0.8358978182381158,0.8358978182381158
-making,7,0.8358594753061476,0.025704283089679626,0.7728970975323822,0.8463532049351085
urgency,1,0.8354128973970055,0.0,0.8354128973970055,0.8354128973970055
understand,28,0.8346742272891985,0.13955039299140715,0.4792490734364599,0.9621580350412147
scouting,2,0.8243340844306174,0.0054022446971983,0.8189318397334191,0.8297363291278157
temporary,4,0.823879593972344,0.04245275386559372,0.7798145770951679,0.8782607529555279
figure,2,0.8236977937649866,0.035229544555488546,0.7884682492094981,0.8589273383204752
conclusive,2,0.8212825122680418,0.04858920820722312,0.7726933040608187,0.869871720475265
vague,2,0.820897291624584,0.0058551772395094015,0.8150421143850746,0.8267524688640934
clarity,1,0.820233846114592,0.0,0.820233846114592,0.820233846114592
caution,13,0.8200771316652415,0.06464669980454617,0.7353576621201428,0.9295454676901398
discord,1,0.8195661281793292,0.0,0.8195661281793292,0.8195661281793292
investigate,10,0.8195532730804258,0.06581520645168791,0.6709414012895648,0.8984283587551622
justify,1,0.8192273798045139,0.0,0.8192273798045139,0.8192273798045139
validity,4,0.8189991813430074,0.08461534903769244,0.6747981831292789,0.886424028678622
communication,1,0.8177593631225542,0.0,0.8177593631225542,0.8177593631225542
affect,1,0.8166609696702853,0.0,0.8166609696702853,0.8166609696702853
occurred,237,0.8165023631381981,0.11995879199689577,0.08602746828791433,0.9837356003479842
inconsistencies,9,0.8147430984156423,0.06354739018515422,0.6843512841674351,0.9104543889748853
safest,45,0.8142085884413208,0.04161297317764506,0.737849746114353,0.8924227696338077
unknown,5,0.8138678522742548,0.14684166552347488,0.530676400483924,0.94536761140678
stages,86,0.8119913727815832,0.10262767198831471,0.5035011062422708,0.9499849605588864
downfall,1,0.8110411608116339,0.0,0.8110411608116339,0.8110411608116339
accidents,1,0.8109060150715983,0.0,0.8109060150715983,0.8109060150715983
suggestions,6,0.8091241519402638,0.08022215972714053,0.6994022490193983,0.9008820733738601
manipulate,1,0.8087539590821622,0.0,0.8087539590821622,0.8087539590821622
weigh,26,0.8077218781420403,0.07075750085482817,0.6343324332404372,0.9104459982247581
danger,23,0.807476703516237,0.08188793735559982,0.6185127286392812,0.9163183054646651
benefits,49,0.804367688402444,0.07737224549384622,0.5577820417951199,0.9125947290847335
concerned,7,0.8028811459203266,0.08298005378231196,0.6367047240320031,0.9113120268280582
unfolded,1,0.8017347360083266,0.0,0.8017347360083266,0.8017347360083266
concern,7,0.8013761965914666,0.08164424366950723,0.6826645021110325,0.9116051640647164
hearing,4,0.7963343961658398,0.04173496962062897,0.7241514055251235,0.8235420082412978
clues,10,0.7946765324956637,0.15924805861217226,0.40898957318038065,0.9928589094515382
updated,1,0.7926788570533899,0.0,0.7926788570533899,0.7926788570533899
recorded,25,0.7925416713612432,0.0794846991699162,0.6833999151636443,0.8689676540986399
y,16,0.7910759923020417,0.06681241717270471,0.628836078497158,0.8729222472066689
explain,11,0.7909016403075103,0.07637944388435727,0.6174982132340057,0.8999183981103834
consider,409,0.7905539881217947,0.10300118995874276,0.21771171748318896,0.9353175634368132
inefficient,3,0.7897861586372366,0.03295740211238257,0.7458563744367858,0.8252386775143373
icious,1,0.7887629204144772,0.0,0.7887629204144772,0.7887629204144772
ate,1,0.788548599982551,0.0,0.788548599982551,0.788548599982551
piece,6,0.7879294591958818,0.32474350865850476,0.06337615679155047,0.9692595459062049
dangerous,5,0.7877661360505034,0.07530431899241392,0.6833364688889981,0.8658039968462674
made,546,0.787477148127414,0.157491069201416,0.11497498252963317,0.9516561256472356
anything,80,0.7872281796610467,0.15191184652298786,0.41818170081488343,0.9655290374591677
incident,19,0.7860067260448789,0.15336897419847248,0.332695679693778,0.9407150666579281
surroundings,19,0.7853799340675909,0.11126640761850368,0.4701389262662878,0.9487695271281231
suspicions,35,0.783823869830233,0.10906485586916473,0.5423778364926721,0.9666101669971601
minutes,1,0.7835750601661781,0.0,0.7835750601661781,0.7835750601661781
questions,55,0.7832628884426641,0.13559498140059442,0.4279638622107644,0.9605171290350265
solely,2,0.7820794309585044,0.013453309357420618,0.7686261216010838,0.795532740315925
ected,23,0.7804886497423102,0.07326577269212488,0.560148331240874,0.9098884773683126
discrepancies,2,0.7799565730886988,0.1810535727391222,0.5989030003495766,0.961010145827821
discussions,3,0.7789955221323764,0.020116584726680486,0.755458287638744,0.8046030127398529
inquire,2,0.7787646044375539,0.0946279189568342,0.6841366854807197,0.8733925233943881
discuss,107,0.7772088024734041,0.10612753192583022,0.447894859892887,0.9465782466922111
chaos,6,0.777125505390524,0.045594497166075776,0.708352134920572,0.8514593958881648
transparency,4,0.7765699321911538,0.04176063434562959,0.7314934024038715,0.8447414919978332
profile,6,0.7760941648228946,0.05595738418584334,0.7157166469702965,0.864742025370023
substantial,5,0.7753592926371013,0.07237719703000281,0.6880172234764343,0.8681477434896937
learn,3,0.7744409898083742,0.15650085242644143,0.5545364266731934,0.9060788091730348
begun,64,0.7739694282185524,0.13271345411337548,0.24088026029565437,0.9187982815432783
observable,1,0.7735063119554393,0.0,0.7735063119554393,0.7735063119554393
distances,1,0.7720847146413653,0.0,0.7720847146413653,0.7720847146413653
traverse,1,0.7712447821649379,0.0,0.7712447821649379,0.7712447821649379
details,17,0.7704673805532524,0.09380553776607163,0.6206372834404333,0.9410938587036117
uncover,4,0.7682145047948443,0.15492216923401633,0.5745294135088157,0.9798257132484742
perspective,4,0.7678360436585392,0.08876516909058171,0.649521182488971,0.8715820117941254
-term,1,0.7678270763626377,0.0,0.7678270763626377,0.7678270763626377
hidden,1,0.7677998757239234,0.0,0.7677998757239234,0.7677998757239234
evidence,103,0.7663573685730222,0.14891477300632103,0.25537915084634505,0.9859175987069551
activity,236,0.7659991551799793,0.13743636766950315,0.2842650502727551,0.9778395793086616
traffic,1,0.7656570383139817,0.0,0.7656570383139817,0.7656570383139817
despite,1,0.7656021006364966,0.0,0.7656021006364966,0.7656021006364966
information,1135,0.765286493375986,0.13580779509441074,0.17773437568302825,0.9941607358115433
happened,32,0.7639628543545156,0.15946121428450222,0.3990932305847657,0.9517697107759925
note,10,0.7636361566809736,0.1707923312633459,0.36046020592192785,0.9243813082101405
publicly,1,0.7635805025811654,0.0,0.7635805025811654,0.7635805025811654
identify,181,0.7634799626611131,0.12871675357999604,0.21573201166376937,0.9658872166088927
motives,1,0.7630237574230384,0.0,0.7630237574230384,0.7630237574230384
validate,1,0.7623091727760603,0.0,0.7623091727760603,0.7623091727760603
populated,44,0.7621563878842168,0.099863884121586,0.42790559124298677,0.8751725621586977
thoughts,6,0.7604176905705279,0.09659046741066192,0.6473585786539333,0.9390850384991439
carefully,41,0.760373459858432,0.1721790108560486,0.19395851794112387,0.9527222538091675
pose,3,0.7592764624990984,0.009861523493293774,0.7456276985394522,0.7685823561540047
unfold,1,0.7587823487120428,0.0,0.7587823487120428,0.7587823487120428
distant,1,0.7581829058746151,0.0,0.7581829058746151,0.7581829058746151
diversion,48,0.7569584114035779,0.06017347749200974,0.5623784505894855,0.8796537852163904
attempt,29,0.7567782196541354,0.11599076095749065,0.48163791502016495,0.9343178599596558
productive,17,0.7567574283200695,0.1084161670052924,0.4688314114742291,0.9092111947820394
must,43,0.7566566612983463,0.10980737744844138,0.35712091797473405,0.8859939324443995
inactive,1,0.7564697828449964,0.0,0.7564697828449964,0.7564697828449964
whereabouts,10,0.7559370762113246,0.1393582931172561,0.5699815228282636,0.9285339286507684
risk,274,0.7559286555508272,0.13064503652865916,0.23290366196999865,0.9452944056348915
investigating,4,0.7549390200643461,0.05831509166145079,0.6901211741788726,0.8468739668717631
premature,55,0.7547286658436133,0.06359503380066407,0.5319554911960052,0.873446250872835
situation,137,0.7540686562352461,0.1525967033137932,0.22446746877598697,0.9836919041821189
guarantee,1,0.7539808172467198,0.0,0.7539808172467198,0.7539808172467198
innocent,7,0.7534593728403374,0.09065294678636393,0.5944624869681465,0.9072607340017278
complexity,2,0.7522177106440278,0.007810249104672151,0.7444074615393556,0.7600279597486999
signs,6,0.7494377034319498,0.1828876838635976,0.38820410838905733,0.9250939094238153
tone,1,0.7487344078899775,0.0,0.7487344078899775,0.7487344078899775
incidents,9,0.7483239559186925,0.1708198914251464,0.30290896725286787,0.8932982766360386
enough,18,0.7482164479624713,0.32225359110965524,0.1288410189817251,0.985626432015264
trapped,2,0.7471073093784695,0.003444557109480828,0.7436627522689887,0.7505518664879504
sight,1,0.7468609890502891,0.0,0.7468609890502891,0.7468609890502891
determine,5,0.7454927401505232,0.13984198164731926,0.6241864630536166,0.916843866995603
safety,55,0.7452820528312158,0.11068060563301813,0.4579614229335504,0.9327297317205085
observe,444,0.7447982505968193,0.09237976702835851,0.3999628243071004,0.9488166430554562
decisions,9,0.7447776277788126,0.10807324367577453,0.5278456252809134,0.9477875835234618
finding,24,0.7443244752339288,0.11265097877980104,0.5676439430901573,0.9219267007891576
accusations,18,0.7441673791222962,0.11309073255340482,0.554010603505941,0.9035349848470334
trap,1,0.744113904225823,0.0,0.744113904225823,0.744113904225823
investigation,2,0.743871713887028,0.0231969248074424,0.7206747890795856,0.7670686386944704
prompt,1,0.7432061276361329,0.0,0.7432061276361329,0.7432061276361329
safer,48,0.7425677674319161,0.09795676448619402,0.4608068480386577,0.8745116908823318
ant,3,0.7423189313827399,0.12351720323334532,0.6506668675387951,0.9169264590125211
no,465,0.7421005252672233,0.17988540881764348,0.04530717229147363,0.9847900194967945
notable,8,0.7412734805701173,0.12226214301544029,0.5499121242954539,0.8586950550409518
find,176,0.7409780085835952,0.08371623271770053,0.5020871930083335,0.9525182324714303
actively,2,0.7400364873033827,0.013094121834180739,0.7269423654692019,0.7531306091375634
arises,1,0.7397028458828079,0.0,0.7397028458828079,0.7397028458828079
patterns,2,0.7395356820588463,0.018429674115088113,0.7211060079437582,0.7579653561739345
asty,3,0.7354068488423661,0.12627649297662474,0.5882412221544632,0.8965986671965386
falsely,1,0.7352819984282172,0.0,0.7352819984282172,0.7352819984282172
detected,219,0.7337868450591721,0.11470835235942956,0.2287301222908661,0.9496712201007967
balance,9,0.7334995308980664,0.08636520648957513,0.6051470185931547,0.8665882940901172
identical,1,0.7326588836194475,0.0,0.7326588836194475,0.7326588836194475
hopes,1,0.7322749727684212,0.0,0.7322749727684212,0.7322749727684212
wisely,1,0.7307267457550846,0.0,0.7307267457550846,0.7307267457550846
?,71,0.7303249392662997,0.14671567141455574,0.17940582266733063,0.9362994205904561
't,212,0.7301000008349907,0.18066786640062188,0.1773521905469971,0.968147998262352
preferably,1,0.7298097738105916,0.0,0.7298097738105916,0.7298097738105916
outcome,1,0.7287895683986412,0.0,0.7287895683986412,0.7287895683986412
effective,10,0.728644011274938,0.11250224822894571,0.4596973111449598,0.8541118751885997
experiences,1,0.728631774539472,0.0,0.728631774539472,0.728631774539472
vigilant,12,0.728080608724251,0.07433483014910713,0.5930457107358478,0.8529739773723457
complex,1,0.7273245023372581,0.0,0.7273245023372581,0.7273245023372581
