probe,max_similarity,top_10_mean,top_100_mean,overall_mean,overall_std
single_soft-trigger,0.23772129960088378,0.15838868592080685,0.1246004092468257,0.001836192214903682,0.02384137690924551
single_convincing-game,0.2458112649749483,0.17223522194509755,0.13130189397399064,0.0029277390634745246,0.029095074267065642
single_instructed-deception,0.31300342987442364,0.20932025238155888,0.12726823906995055,0.0019339360548962401,0.021491045215275808
single_harm-pressure-choice,0.1828411454667334,0.1518721344464392,0.12074637298796803,0.0012260506591782873,0.02285571553096
single_harm-pressure-knowledge-report,0.26428525624165994,0.21687514179884934,0.15163712746193161,-0.0014472018724868527,0.02708849608476874
single_insider-trading,0.27011402395813966,0.17898781712146794,0.12532559805647897,0.0022868353312475885,0.022221848735521264
loo_soft-trigger,0.20538152391266154,0.1488886156759678,0.10445893893971302,0.0028073793517000268,0.020284043184140628
loo_convincing-game,0.18018322006536758,0.13452058150412743,0.10103171300283278,0.0024796118914901825,0.020420372932046627
loo_instructed-deception,0.2073541515859106,0.13843158279660409,0.10207216162670271,0.001924441119935462,0.0207219735054705
loo_harm-pressure-choice,0.182945392677267,0.14262681061515842,0.10942702251283415,0.0028205734917801325,0.02098856272564204
loo_harm-pressure-knowledge-report,0.20227490485601204,0.14462130599967446,0.11317619400465873,0.002962544369482198,0.022329584216244765
loo_insider-trading,0.1827170809054084,0.14832794306066857,0.11582605326917662,0.002038160930895805,0.02400586331532786
combined_all,0.18914395948849322,0.13681504048808474,0.10521266583033599,0.002596472178945641,0.021013663439766267
