dataset,distinctive_for,rank,feature_idx,honest_mean,deceptive_mean,difference,ratio
insider-trading,deceptive,1,45068,0.683704674243927,0.773708164691925,0.09000349044799805,1.131640911102295
insider-trading,deceptive,2,25471,1.2866452932357788,1.3765339851379395,0.08988869190216064,1.0698628425598145
insider-trading,deceptive,3,34355,0.5275938510894775,0.608664333820343,0.08107048273086548,1.153660774230957
insider-trading,deceptive,4,64806,3.401960611343384,3.4829916954040527,0.08103108406066895,1.0238189697265625
insider-trading,deceptive,5,1106,1.9508895874023438,2.0284833908081055,0.07759380340576172,1.0397735834121704
insider-trading,deceptive,6,32063,2.712043285369873,2.789461612701416,0.07741832733154297,1.0285460948944092
insider-trading,deceptive,7,26912,2.491109609603882,2.566713333129883,0.07560372352600098,1.0303493738174438
insider-trading,deceptive,8,15272,2.0697999000549316,2.1431615352630615,0.07336163520812988,1.0354437828063965
insider-trading,deceptive,9,17596,1.1056768894195557,1.1786246299743652,0.07294774055480957,1.0659756660461426
insider-trading,deceptive,10,11274,1.4528412818908691,1.5236918926239014,0.07085061073303223,1.0487669706344604
insider-trading,deceptive,11,63555,1.2337238788604736,1.3032501935958862,0.0695263147354126,1.0563548803329468
insider-trading,deceptive,12,44320,0.7412323355674744,0.8101196885108948,0.06888735294342041,1.0929362773895264
insider-trading,deceptive,13,36526,1.5567857027053833,1.6253046989440918,0.0685189962387085,1.0440131425857544
insider-trading,deceptive,14,49016,0.5014322996139526,0.5695070624351501,0.06807476282119751,1.1357606649398804
insider-trading,deceptive,15,17226,1.2443755865097046,1.3116627931594849,0.06728720664978027,1.0540730953216553
insider-trading,deceptive,16,40023,1.0751501321792603,1.1424288749694824,0.06727874279022217,1.062576174736023
insider-trading,deceptive,17,17968,0.4127165377140045,0.47982874512672424,0.06711220741271973,1.1626108884811401
insider-trading,deceptive,18,32108,1.1935709714889526,1.260180115699768,0.06660914421081543,1.0558066368103027
insider-trading,deceptive,19,48900,1.3567612171173096,1.4221526384353638,0.0653914213180542,1.0481966733932495
insider-trading,deceptive,20,28870,3.227382183074951,3.292679786682129,0.06529760360717773,1.0202323198318481
insider-trading,deceptive,21,50893,0.8159239888191223,0.8811203241348267,0.06519633531570435,1.0799049139022827
insider-trading,deceptive,22,28805,1.701505184173584,1.7666083574295044,0.06510317325592041,1.038262128829956
insider-trading,deceptive,23,33122,1.0591349601745605,1.122886061668396,0.06375110149383545,1.0601916313171387
insider-trading,deceptive,24,26584,1.9787204265594482,2.0417091846466064,0.0629887580871582,1.0318330526351929
insider-trading,deceptive,25,63649,1.461066722869873,1.5238587856292725,0.06279206275939941,1.0429768562316895
insider-trading,deceptive,26,2186,1.3604404926300049,1.422864317893982,0.06242382526397705,1.0458849668502808
insider-trading,deceptive,27,10304,0.6224383115768433,0.6847407817840576,0.062302470207214355,1.100094199180603
insider-trading,deceptive,28,39944,0.36355316638946533,0.42545241117477417,0.06189924478530884,1.1702618598937988
insider-trading,deceptive,29,3520,1.3821581602096558,1.4436193704605103,0.06146121025085449,1.044467568397522
insider-trading,deceptive,30,30977,1.2588987350463867,1.3201690912246704,0.06127035617828369,1.0486698150634766
insider-trading,deceptive,31,18203,1.418238878250122,1.479117751121521,0.060878872871398926,1.0429257154464722
insider-trading,deceptive,32,17778,1.0189399719238281,1.0796900987625122,0.06075012683868408,1.0596208572387695
insider-trading,deceptive,33,16880,2.9199092388153076,2.9805898666381836,0.06068062782287598,1.0207816362380981
insider-trading,deceptive,34,4425,1.2393382787704468,1.2997288703918457,0.060390591621398926,1.048728108406067
insider-trading,deceptive,35,12532,1.3586666584014893,1.418931007385254,0.06026434898376465,1.0443555116653442
insider-trading,deceptive,36,29912,1.9124691486358643,1.9727051258087158,0.06023597717285156,1.0314964056015015
insider-trading,deceptive,37,13029,1.2593836784362793,1.3194198608398438,0.06003618240356445,1.0476710796356201
insider-trading,deceptive,38,43140,1.1895052194595337,1.2494292259216309,0.05992400646209717,1.0503772497177124
insider-trading,deceptive,39,59948,1.0021350383758545,1.0617635250091553,0.05962848663330078,1.0595014095306396
insider-trading,deceptive,40,11341,1.8231624364852905,1.8825013637542725,0.059338927268981934,1.0325472354888916
insider-trading,deceptive,41,19251,0.8071980476379395,0.8664427995681763,0.059244751930236816,1.0733956098556519
insider-trading,deceptive,42,63138,2.4843578338623047,2.5432791709899902,0.05892133712768555,1.023716926574707
insider-trading,deceptive,43,53077,0.5221034288406372,0.5808965563774109,0.05879312753677368,1.1126081943511963
insider-trading,deceptive,44,41393,2.108520984649658,2.167257070541382,0.05873608589172363,1.0278565883636475
insider-trading,deceptive,45,37287,1.8836429119110107,1.9422730207443237,0.05863010883331299,1.0311259031295776
insider-trading,deceptive,46,6207,1.1440808773040771,1.2024339437484741,0.05835306644439697,1.0510042905807495
insider-trading,deceptive,47,1924,0.6258360743522644,0.6839070916175842,0.058071017265319824,1.0927895307540894
insider-trading,deceptive,48,49678,1.0661667585372925,1.1240134239196777,0.057846665382385254,1.0542566776275635
insider-trading,deceptive,49,55608,1.4899754524230957,1.547637939453125,0.0576624870300293,1.0387003421783447
insider-trading,deceptive,50,15464,1.4414118528366089,1.498878836631775,0.057466983795166016,1.0398685932159424
insider-trading,honest,1,62099,0.8315559029579163,0.7092989683151245,-0.12225693464279175,0.8529781103134155
insider-trading,honest,2,61332,0.7162219285964966,0.6213551163673401,-0.0948668122291565,0.867545485496521
insider-trading,honest,3,12084,0.6360825300216675,0.5516444444656372,-0.08443808555603027,0.8672529458999634
