dataset,distinctive_for,rank,dimension,honest_mean,deceptive_mean,difference
convincing-game,deceptive,1,3467,-867.9354858398438,-788.1150512695312,79.8204345703125
convincing-game,deceptive,2,155,-744.0658569335938,-704.585693359375,39.48016357421875
convincing-game,deceptive,3,4385,-541.40087890625,-508.5775451660156,32.823333740234375
convincing-game,deceptive,4,6853,-474.6241760253906,-448.37933349609375,26.244842529296875
convincing-game,deceptive,5,4879,-28.362314224243164,-6.545495510101318,21.816818237304688
convincing-game,deceptive,6,7703,-417.3902893066406,-396.3438720703125,21.046417236328125
convincing-game,deceptive,7,620,-443.1899108886719,-422.78643798828125,20.403472900390625
convincing-game,deceptive,8,5730,-412.1677551269531,-394.0034484863281,18.164306640625
convincing-game,deceptive,9,6970,189.85562133789062,207.290283203125,17.434661865234375
convincing-game,deceptive,10,8025,-190.95474243164062,-174.23876953125,16.715972900390625
convincing-game,deceptive,11,4030,-142.68463134765625,-127.20938873291016,15.475242614746094
convincing-game,deceptive,12,3373,-214.72225952148438,-199.4668731689453,15.255386352539062
convincing-game,deceptive,13,6892,-315.5172119140625,-303.525146484375,11.9920654296875
convincing-game,deceptive,14,3222,127.67204284667969,138.43502807617188,10.762985229492188
convincing-game,deceptive,15,7188,-179.45315551757812,-168.8843231201172,10.568832397460938
convincing-game,deceptive,16,6890,-305.93389892578125,-297.8100280761719,8.123870849609375
convincing-game,deceptive,17,8026,-33.258026123046875,-25.326763153076172,7.931262969970703
convincing-game,deceptive,18,5505,-45.02621078491211,-37.16923904418945,7.856971740722656
convincing-game,deceptive,19,2230,24.991029739379883,32.79159927368164,7.800569534301758
convincing-game,deceptive,20,6752,-75.4454116821289,-67.68009185791016,7.76531982421875
convincing-game,deceptive,21,5497,-78.947509765625,-71.35125732421875,7.59625244140625
convincing-game,deceptive,22,2719,-38.08927536010742,-31.0645751953125,7.024700164794922
convincing-game,deceptive,23,2543,-38.87248611450195,-31.88435935974121,6.988126754760742
convincing-game,deceptive,24,5268,-77.27400207519531,-70.31652069091797,6.957481384277344
convincing-game,deceptive,25,872,-57.29235076904297,-50.470123291015625,6.822227478027344
convincing-game,deceptive,26,3573,-11.152070045471191,-4.5292277336120605,6.622842311859131
convincing-game,deceptive,27,3912,-62.59659194946289,-56.1732177734375,6.423374176025391
convincing-game,deceptive,28,2939,-24.864946365356445,-18.65513801574707,6.209808349609375
convincing-game,deceptive,29,3815,-42.0399169921875,-35.83692932128906,6.2029876708984375
convincing-game,deceptive,30,4550,-62.653018951416016,-56.534786224365234,6.118232727050781
convincing-game,deceptive,31,1215,-40.76287841796875,-34.68256378173828,6.080314636230469
convincing-game,deceptive,32,2957,-66.57093811035156,-60.49657440185547,6.074363708496094
convincing-game,deceptive,33,350,-123.8211898803711,-117.86886596679688,5.952323913574219
convincing-game,deceptive,34,1038,-48.388450622558594,-42.47323226928711,5.915218353271484
convincing-game,deceptive,35,6448,-59.59618377685547,-53.75894546508789,5.837238311767578
convincing-game,deceptive,36,73,-37.48251724243164,-31.653413772583008,5.829103469848633
convincing-game,deceptive,37,3559,-52.07826614379883,-46.2845344543457,5.793731689453125
convincing-game,deceptive,38,4601,-152.20787048339844,-146.41969299316406,5.788177490234375
convincing-game,deceptive,39,284,-38.74413299560547,-33.01097869873047,5.733154296875
convincing-game,deceptive,40,1847,-83.7915267944336,-78.07437896728516,5.7171478271484375
convincing-game,deceptive,41,4383,-41.77565383911133,-36.24115753173828,5.534496307373047
convincing-game,deceptive,42,4398,-23.601587295532227,-18.07028579711914,5.531301498413086
convincing-game,deceptive,43,437,-74.03740692138672,-68.52428436279297,5.51312255859375
convincing-game,deceptive,44,4295,-26.604053497314453,-21.11402130126953,5.490032196044922
convincing-game,deceptive,45,2594,-57.78889846801758,-52.314334869384766,5.4745635986328125
convincing-game,deceptive,46,5890,-70.60613250732422,-65.13764953613281,5.468482971191406
convincing-game,deceptive,47,7506,-60.27294921875,-54.835205078125,5.437744140625
convincing-game,deceptive,48,3685,-41.348201751708984,-35.920623779296875,5.427577972412109
convincing-game,deceptive,49,2484,-53.60388946533203,-48.18253707885742,5.421352386474609
convincing-game,deceptive,50,5931,-40.05762481689453,-34.73249435424805,5.325130462646484
