dataset,distinctive_for,rank,dimension,honest_mean,deceptive_mean,difference
convincing-game,honest,1,5114,1452.7218017578125,1265.88623046875,-186.8355712890625
convincing-game,honest,2,7033,201.7266845703125,157.17774963378906,-44.54893493652344
convincing-game,honest,3,6857,794.130859375,753.1357421875,-40.9951171875
convincing-game,honest,4,7306,643.0315551757812,602.4852294921875,-40.54632568359375
convincing-game,honest,5,4994,663.81396484375,626.9656982421875,-36.8482666015625
convincing-game,honest,6,7875,167.31430053710938,147.09036254882812,-20.22393798828125
convincing-game,honest,7,3099,92.832763671875,74.03079986572266,-18.801963806152344
convincing-game,honest,8,233,209.2893829345703,190.5791015625,-18.710281372070312
convincing-game,honest,9,4031,-155.082275390625,-171.2176513671875,-16.1353759765625
convincing-game,honest,10,8043,309.2318115234375,294.4620361328125,-14.769775390625
convincing-game,honest,11,514,-55.067752838134766,-68.41090393066406,-13.343151092529297
convincing-game,honest,12,2567,296.5888671875,284.5052490234375,-12.0836181640625
convincing-game,honest,13,634,-221.91734313964844,-232.2880401611328,-10.370697021484375
convincing-game,honest,14,4495,47.742713928222656,38.7965087890625,-8.946205139160156
convincing-game,honest,15,3286,157.89520263671875,149.6802520751953,-8.214950561523438
convincing-game,honest,16,3421,52.17031478881836,45.07110595703125,-7.099208831787109
convincing-game,honest,17,43,0.5978895425796509,-6.146778106689453,-6.7446675300598145
convincing-game,honest,18,1071,45.7120246887207,38.983497619628906,-6.728527069091797
convincing-game,honest,19,1532,267.8014831542969,261.0992736816406,-6.70220947265625
convincing-game,honest,20,933,79.72664642333984,73.05748748779297,-6.669158935546875
convincing-game,honest,21,7640,86.55631256103516,79.89058685302734,-6.6657257080078125
convincing-game,honest,22,6723,58.249332427978516,51.73640060424805,-6.512931823730469
convincing-game,honest,23,5479,212.81201171875,206.32984924316406,-6.4821624755859375
convincing-game,honest,24,6900,41.045127868652344,34.62388610839844,-6.421241760253906
convincing-game,honest,25,4579,23.82940673828125,17.578943252563477,-6.250463485717773
convincing-game,honest,26,4727,49.63930892944336,43.478111267089844,-6.161197662353516
convincing-game,honest,27,3131,41.263790130615234,35.234737396240234,-6.029052734375
convincing-game,honest,28,4472,58.46617889404297,52.44815444946289,-6.018024444580078
convincing-game,honest,29,4149,52.027381896972656,46.07718276977539,-5.950199127197266
convincing-game,honest,30,1135,25.24079132080078,19.315723419189453,-5.925067901611328
convincing-game,honest,31,8045,53.1521110534668,47.26921463012695,-5.882896423339844
convincing-game,honest,32,6317,-86.92679595947266,-92.6661148071289,-5.73931884765625
convincing-game,honest,33,7277,114.71546936035156,109.01359558105469,-5.701873779296875
convincing-game,honest,34,2387,99.43741607666016,93.91532897949219,-5.522087097167969
convincing-game,honest,35,6510,53.69975662231445,48.21247100830078,-5.487285614013672
convincing-game,honest,36,5860,57.55406951904297,52.07988739013672,-5.47418212890625
convincing-game,honest,37,5005,36.73054885864258,31.32357406616211,-5.406974792480469
convincing-game,honest,38,2651,39.80084991455078,34.40306091308594,-5.397789001464844
convincing-game,honest,39,5472,66.45249938964844,61.06376647949219,-5.38873291015625
convincing-game,honest,40,2048,25.68467903137207,20.297325134277344,-5.387353897094727
convincing-game,honest,41,7383,38.827396392822266,33.44068908691406,-5.386707305908203
convincing-game,honest,42,7491,26.59381675720215,21.208349227905273,-5.385467529296875
convincing-game,honest,43,87,73.29360961914062,67.9444580078125,-5.349151611328125
convincing-game,honest,44,5974,31.536664962768555,26.23967742919922,-5.296987533569336
convincing-game,honest,45,461,-10.958672523498535,-16.253143310546875,-5.29447078704834
convincing-game,honest,46,6062,34.46550369262695,29.188533782958984,-5.276969909667969
convincing-game,honest,47,270,32.162166595458984,26.908803939819336,-5.253362655639648
convincing-game,honest,48,2317,26.427474975585938,21.277896881103516,-5.149578094482422
convincing-game,honest,49,34,33.44253158569336,28.33261489868164,-5.109916687011719
convincing-game,honest,50,4054,42.9189567565918,37.813201904296875,-5.105754852294922
