dataset,distinctive_for,rank,dimension,honest_mean,deceptive_mean,difference
harm-pressure-choice,deceptive,1,3467,-537.2210693359375,-528.0971069335938,9.12396240234375
harm-pressure-choice,deceptive,2,6970,164.31353759765625,172.30467224121094,7.9911346435546875
harm-pressure-choice,deceptive,3,155,-558.9179077148438,-552.194580078125,6.72332763671875
harm-pressure-choice,deceptive,4,3074,-8.603249549865723,-1.909210443496704,6.694039344787598
harm-pressure-choice,deceptive,5,3099,76.52845764160156,82.30757141113281,5.77911376953125
harm-pressure-choice,deceptive,6,636,154.54434204101562,160.31869506835938,5.77435302734375
harm-pressure-choice,deceptive,7,6857,583.9398803710938,588.645263671875,4.70538330078125
harm-pressure-choice,deceptive,8,8043,220.39089965820312,224.49905395507812,4.108154296875
harm-pressure-choice,deceptive,9,2232,198.917724609375,202.009033203125,3.09130859375
harm-pressure-choice,deceptive,10,2230,15.328031539916992,18.358251571655273,3.0302200317382812
harm-pressure-choice,deceptive,11,2387,79.57235717773438,82.08871459960938,2.516357421875
harm-pressure-choice,deceptive,12,233,159.24171447753906,161.5336151123047,2.291900634765625
harm-pressure-choice,deceptive,13,6148,-13.93238639831543,-12.00525951385498,1.9271268844604492
harm-pressure-choice,deceptive,14,350,-82.54403686523438,-80.6890640258789,1.8549728393554688
harm-pressure-choice,deceptive,15,6406,0.8179230093955994,2.2662127017974854,1.4482896327972412
harm-pressure-choice,deceptive,16,2937,9.890678405761719,11.277055740356445,1.3863773345947266
harm-pressure-choice,deceptive,17,4482,71.61334228515625,72.90306091308594,1.2897186279296875
harm-pressure-choice,deceptive,18,1872,41.05926513671875,42.34245681762695,1.2831916809082031
harm-pressure-choice,deceptive,19,7951,-25.21619987487793,-23.933874130249023,1.2823257446289062
harm-pressure-choice,deceptive,20,7450,22.62507438659668,23.81153106689453,1.1864566802978516
harm-pressure-choice,deceptive,21,3222,91.9835205078125,93.1613998413086,1.1778793334960938
harm-pressure-choice,deceptive,22,3693,4.565998077392578,5.7154974937438965,1.1494994163513184
harm-pressure-choice,deceptive,23,4218,-1.373378038406372,-0.25201380252838135,1.1213642358779907
harm-pressure-choice,deceptive,24,6944,14.054886817932129,15.173601150512695,1.1187143325805664
harm-pressure-choice,deceptive,25,3256,28.063060760498047,29.172725677490234,1.1096649169921875
harm-pressure-choice,deceptive,26,1619,7.070537567138672,8.17875862121582,1.1082210540771484
harm-pressure-choice,deceptive,27,6328,24.495023727416992,25.601280212402344,1.1062564849853516
harm-pressure-choice,deceptive,28,4486,4.912700653076172,6.005382537841797,1.092681884765625
harm-pressure-choice,deceptive,29,7167,-25.1395320892334,-24.05027198791504,1.0892601013183594
harm-pressure-choice,deceptive,30,4708,43.47389602661133,44.55243682861328,1.0785408020019531
harm-pressure-choice,deceptive,31,100,17.166032791137695,18.2230167388916,1.0569839477539062
harm-pressure-choice,deceptive,32,4421,-20.458473205566406,-19.403818130493164,1.0546550750732422
harm-pressure-choice,deceptive,33,6840,26.758588790893555,27.8035945892334,1.0450057983398438
harm-pressure-choice,deceptive,34,7645,11.520740509033203,12.558103561401367,1.037363052368164
harm-pressure-choice,deceptive,35,3984,20.53745460510254,21.56459617614746,1.0271415710449219
harm-pressure-choice,deceptive,36,2858,-0.05201457813382149,0.9707244038581848,1.0227389335632324
harm-pressure-choice,deceptive,37,8103,10.202607154846191,11.219504356384277,1.016897201538086
harm-pressure-choice,deceptive,38,2027,5.812892436981201,6.8263092041015625,1.0134167671203613
harm-pressure-choice,deceptive,39,5452,22.737728118896484,23.746347427368164,1.0086193084716797
harm-pressure-choice,deceptive,40,4094,-7.053722858428955,-6.047830581665039,1.005892276763916
harm-pressure-choice,deceptive,41,1912,-16.21855926513672,-15.214552879333496,1.0040063858032227
harm-pressure-choice,deceptive,42,5907,-28.793996810913086,-27.790199279785156,1.0037975311279297
harm-pressure-choice,deceptive,43,3007,-9.021405220031738,-8.026196479797363,0.995208740234375
harm-pressure-choice,deceptive,44,3876,26.887603759765625,27.87550163269043,0.9878978729248047
harm-pressure-choice,deceptive,45,6295,-21.888538360595703,-20.903732299804688,0.9848060607910156
harm-pressure-choice,deceptive,46,4019,-3.745635747909546,-2.762202739715576,0.9834330081939697
harm-pressure-choice,deceptive,47,4664,-9.525870323181152,-8.547578811645508,0.9782915115356445
harm-pressure-choice,deceptive,48,4087,13.156620025634766,14.128020286560059,0.971400260925293
harm-pressure-choice,deceptive,49,280,20.11119842529297,21.07865333557129,0.9674549102783203
harm-pressure-choice,deceptive,50,2315,-24.654272079467773,-23.691635131835938,0.9626369476318359
