dataset,distinctive_for,rank,dimension,honest_mean,deceptive_mean,difference
harm-pressure-choice,honest,1,5114,1140.4176025390625,1101.9075927734375,-38.510009765625
harm-pressure-choice,honest,2,4031,-126.91937255859375,-142.2462921142578,-15.326919555664062
harm-pressure-choice,honest,3,2567,212.79042053222656,207.0517578125,-5.7386627197265625
harm-pressure-choice,honest,4,514,-43.876869201660156,-49.1619987487793,-5.285129547119141
harm-pressure-choice,honest,5,4994,458.4981994628906,454.00732421875,-4.490875244140625
harm-pressure-choice,honest,6,6853,-350.7178039550781,-355.0940246582031,-4.376220703125
harm-pressure-choice,honest,7,8025,-99.520263671875,-103.11682891845703,-3.5965652465820312
harm-pressure-choice,honest,8,3373,-158.46302795410156,-161.8831787109375,-3.4201507568359375
harm-pressure-choice,honest,9,3852,-56.15000915527344,-59.44246292114258,-3.2924537658691406
harm-pressure-choice,honest,10,7703,-304.9204406738281,-307.8399353027344,-2.91949462890625
harm-pressure-choice,honest,11,1532,193.46148681640625,190.55288696289062,-2.908599853515625
harm-pressure-choice,honest,12,7277,72.2677230834961,69.52423858642578,-2.7434844970703125
harm-pressure-choice,honest,13,7306,468.8896484375,466.233642578125,-2.656005859375
harm-pressure-choice,honest,14,7875,88.32357025146484,85.76130676269531,-2.5622634887695312
harm-pressure-choice,honest,15,6892,-230.9558868408203,-233.12522888183594,-2.169342041015625
harm-pressure-choice,honest,16,4879,-21.860641479492188,-23.821983337402344,-1.9613418579101562
harm-pressure-choice,honest,17,7740,-2.501702308654785,-4.230127811431885,-1.7284255027770996
harm-pressure-choice,honest,18,620,-337.60760498046875,-339.2405700683594,-1.632965087890625
harm-pressure-choice,honest,19,43,5.9118170738220215,4.368675231933594,-1.5431418418884277
harm-pressure-choice,honest,20,5539,-4.283369064331055,-5.549574375152588,-1.2662053108215332
harm-pressure-choice,honest,21,5780,1.8725663423538208,0.6311221718788147,-1.2414441108703613
harm-pressure-choice,honest,22,2738,-4.252628803253174,-5.475954055786133,-1.223325252532959
harm-pressure-choice,honest,23,1071,54.365535736083984,53.1439323425293,-1.2216033935546875
harm-pressure-choice,honest,24,4688,-2.4932284355163574,-3.6490070819854736,-1.1557786464691162
harm-pressure-choice,honest,25,3486,-3.7316861152648926,-4.871380805969238,-1.1396946907043457
harm-pressure-choice,honest,26,6544,4.345063209533691,3.212465286254883,-1.1325979232788086
harm-pressure-choice,honest,27,4601,-109.3183822631836,-110.45018005371094,-1.1317977905273438
harm-pressure-choice,honest,28,4393,13.804971694946289,12.674995422363281,-1.1299762725830078
harm-pressure-choice,honest,29,628,5.379370212554932,4.293129920959473,-1.086240291595459
harm-pressure-choice,honest,30,7795,2.0851309299468994,0.9998977780342102,-1.085233211517334
harm-pressure-choice,honest,31,4784,-43.808250427246094,-44.8924674987793,-1.0842170715332031
harm-pressure-choice,honest,32,7439,-8.415567398071289,-9.491171836853027,-1.0756044387817383
harm-pressure-choice,honest,33,304,9.017837524414062,7.952455997467041,-1.0653815269470215
harm-pressure-choice,honest,34,788,1.3140627145767212,0.2860642969608307,-1.027998447418213
harm-pressure-choice,honest,35,7423,-9.016871452331543,-10.042845726013184,-1.0259742736816406
harm-pressure-choice,honest,36,5730,-299.73297119140625,-300.7562255859375,-1.02325439453125
harm-pressure-choice,honest,37,289,-2.791360855102539,-3.8057456016540527,-1.0143847465515137
harm-pressure-choice,honest,38,4092,-2.97159743309021,-3.9856526851654053,-1.0140552520751953
harm-pressure-choice,honest,39,3245,-39.466697692871094,-40.4754753112793,-1.0087776184082031
harm-pressure-choice,honest,40,1152,-13.980708122253418,-14.972079277038574,-0.9913711547851562
harm-pressure-choice,honest,41,7916,1.0679924488067627,0.07932606339454651,-0.9886664152145386
harm-pressure-choice,honest,42,2983,21.740816116333008,20.753677368164062,-0.9871387481689453
harm-pressure-choice,honest,43,7519,3.2369110584259033,2.252335548400879,-0.9845755100250244
harm-pressure-choice,honest,44,4223,-4.220915794372559,-5.204983711242676,-0.9840679168701172
harm-pressure-choice,honest,45,6473,3.561527967453003,2.578216552734375,-0.9833114147186279
harm-pressure-choice,honest,46,992,7.373517036437988,6.395948886871338,-0.9775681495666504
harm-pressure-choice,honest,47,3312,-7.498477935791016,-8.475050926208496,-0.9765729904174805
harm-pressure-choice,honest,48,317,-1.4992245435714722,-2.4620561599731445,-0.9628316164016724
harm-pressure-choice,honest,49,2251,5.124088764190674,4.164315223693848,-0.9597735404968262
harm-pressure-choice,honest,50,2173,-29.834856033325195,-30.790010452270508,-0.9551544189453125
