dataset,distinctive_for,rank,dimension,honest_mean,deceptive_mean,difference
harm-pressure-knowledge-report,deceptive,1,5114,1340.252685546875,1411.7958984375,71.543212890625
harm-pressure-knowledge-report,deceptive,2,4994,522.0184936523438,555.1915893554688,33.173095703125
harm-pressure-knowledge-report,deceptive,3,6857,650.2864990234375,676.8333129882812,26.54681396484375
harm-pressure-knowledge-report,deceptive,4,3099,75.09400939941406,100.06934356689453,24.97533416748047
harm-pressure-knowledge-report,deceptive,5,6970,156.43106079101562,180.1679229736328,23.736862182617188
harm-pressure-knowledge-report,deceptive,6,2567,237.51998901367188,252.686767578125,15.166778564453125
harm-pressure-knowledge-report,deceptive,7,7306,528.4025268554688,542.6845092773438,14.281982421875
harm-pressure-knowledge-report,deceptive,8,7277,89.86946868896484,101.94770050048828,12.078231811523438
harm-pressure-knowledge-report,deceptive,9,1071,41.3210334777832,50.83259963989258,9.511566162109375
harm-pressure-knowledge-report,deceptive,10,4482,78.10943603515625,87.11488342285156,9.005447387695312
harm-pressure-knowledge-report,deceptive,11,43,6.224594593048096,13.477777481079102,7.253182888031006
harm-pressure-knowledge-report,deceptive,12,634,-177.8651123046875,-170.92897033691406,6.9361419677734375
harm-pressure-knowledge-report,deceptive,13,7875,103.05086517333984,109.86978912353516,6.8189239501953125
harm-pressure-knowledge-report,deceptive,14,5479,175.5699920654297,182.0275421142578,6.457550048828125
harm-pressure-knowledge-report,deceptive,15,3222,101.23560333251953,105.66715240478516,4.431549072265625
harm-pressure-knowledge-report,deceptive,16,3074,-28.2130184173584,-23.91306495666504,4.299953460693359
harm-pressure-knowledge-report,deceptive,17,3286,125.97126770019531,129.92320251464844,3.951934814453125
harm-pressure-knowledge-report,deceptive,18,1901,28.271486282348633,31.946269989013672,3.674783706665039
harm-pressure-knowledge-report,deceptive,19,7059,27.501136779785156,31.123247146606445,3.622110366821289
harm-pressure-knowledge-report,deceptive,20,6006,63.43172073364258,66.95057678222656,3.5188560485839844
harm-pressure-knowledge-report,deceptive,21,2232,189.4373321533203,192.93838500976562,3.5010528564453125
harm-pressure-knowledge-report,deceptive,22,6611,20.754056930541992,24.23055076599121,3.4764938354492188
harm-pressure-knowledge-report,deceptive,23,2840,41.91342544555664,45.264286041259766,3.350860595703125
harm-pressure-knowledge-report,deceptive,24,1424,41.16937255859375,44.498287200927734,3.3289146423339844
harm-pressure-knowledge-report,deceptive,25,7030,112.37753295898438,115.57230377197266,3.1947708129882812
harm-pressure-knowledge-report,deceptive,26,8043,260.8974914550781,264.06646728515625,3.168975830078125
harm-pressure-knowledge-report,deceptive,27,5937,29.201194763183594,32.34672164916992,3.145526885986328
harm-pressure-knowledge-report,deceptive,28,6804,45.79412841796875,48.93739700317383,3.143268585205078
harm-pressure-knowledge-report,deceptive,29,5054,55.42702865600586,58.564231872558594,3.1372032165527344
harm-pressure-knowledge-report,deceptive,30,1001,31.69437599182129,34.82745361328125,3.133077621459961
harm-pressure-knowledge-report,deceptive,31,771,63.463897705078125,66.53286743164062,3.0689697265625
harm-pressure-knowledge-report,deceptive,32,1204,40.95632553100586,43.99211502075195,3.0357894897460938
harm-pressure-knowledge-report,deceptive,33,4641,28.043498992919922,31.054365158081055,3.010866165161133
harm-pressure-knowledge-report,deceptive,34,4010,34.253700256347656,37.260799407958984,3.007099151611328
harm-pressure-knowledge-report,deceptive,35,112,28.697423934936523,31.689241409301758,2.9918174743652344
harm-pressure-knowledge-report,deceptive,36,7258,18.580793380737305,21.50812530517578,2.9273319244384766
harm-pressure-knowledge-report,deceptive,37,7008,37.19779586791992,40.11308288574219,2.9152870178222656
harm-pressure-knowledge-report,deceptive,38,2422,22.94704246520996,25.856082916259766,2.9090404510498047
harm-pressure-knowledge-report,deceptive,39,1743,45.533897399902344,48.4208984375,2.8870010375976562
harm-pressure-knowledge-report,deceptive,40,1776,0.4802297353744507,3.358112335205078,2.877882480621338
harm-pressure-knowledge-report,deceptive,41,2545,15.26722240447998,18.082666397094727,2.815443992614746
harm-pressure-knowledge-report,deceptive,42,505,14.743569374084473,17.525447845458984,2.7818784713745117
harm-pressure-knowledge-report,deceptive,43,497,23.488319396972656,26.23406219482422,2.7457427978515625
harm-pressure-knowledge-report,deceptive,44,5460,53.61891555786133,56.362491607666016,2.7435760498046875
harm-pressure-knowledge-report,deceptive,45,4476,12.1812744140625,14.921526908874512,2.7402524948120117
harm-pressure-knowledge-report,deceptive,46,7107,25.310562133789062,28.038850784301758,2.7282886505126953
harm-pressure-knowledge-report,deceptive,47,6168,39.5221061706543,42.22774887084961,2.7056427001953125
harm-pressure-knowledge-report,deceptive,48,1151,19.11240577697754,21.80897331237793,2.6965675354003906
harm-pressure-knowledge-report,deceptive,49,4708,48.07621765136719,50.772239685058594,2.6960220336914062
harm-pressure-knowledge-report,deceptive,50,4581,26.465173721313477,29.160419464111328,2.6952457427978516
