dataset,distinctive_for,rank,dimension,honest_mean,deceptive_mean,difference
harm-pressure-knowledge-report,honest,1,4031,-115.9157485961914,-141.7938690185547,-25.87812042236328
harm-pressure-knowledge-report,honest,2,620,-367.7349548339844,-390.9349670410156,-23.20001220703125
harm-pressure-knowledge-report,honest,3,4385,-411.00714111328125,-431.5048828125,-20.49774169921875
harm-pressure-knowledge-report,honest,4,5730,-332.6409912109375,-350.0439147949219,-17.402923583984375
harm-pressure-knowledge-report,honest,5,3467,-643.7540893554688,-660.4847412109375,-16.73065185546875
harm-pressure-knowledge-report,honest,6,6892,-246.63778686523438,-262.36541748046875,-15.727630615234375
harm-pressure-knowledge-report,honest,7,4879,-34.16843032836914,-47.52019119262695,-13.351760864257812
harm-pressure-knowledge-report,honest,8,1532,226.24745178222656,216.820068359375,-9.427383422851562
harm-pressure-knowledge-report,honest,9,6890,-257.6297302246094,-266.1778564453125,-8.548126220703125
harm-pressure-knowledge-report,honest,10,514,-43.8765869140625,-52.032325744628906,-8.155738830566406
harm-pressure-knowledge-report,honest,11,6853,-379.04541015625,-387.12078857421875,-8.07537841796875
harm-pressure-knowledge-report,honest,12,155,-686.2595825195312,-693.5160522460938,-7.2564697265625
harm-pressure-knowledge-report,honest,13,350,-102.22932434082031,-109.01900482177734,-6.789680480957031
harm-pressure-knowledge-report,honest,14,3852,-30.622560501098633,-37.346893310546875,-6.724332809448242
harm-pressure-knowledge-report,honest,15,7188,-142.8470001220703,-149.531982421875,-6.6849822998046875
harm-pressure-knowledge-report,honest,16,4030,-108.66256713867188,-114.42816925048828,-5.765602111816406
harm-pressure-knowledge-report,honest,17,6317,-61.87543869018555,-66.54500579833984,-4.669567108154297
harm-pressure-knowledge-report,honest,18,1784,-65.25891876220703,-69.53743743896484,-4.2785186767578125
harm-pressure-knowledge-report,honest,19,2894,-35.63240432739258,-39.87421417236328,-4.241809844970703
harm-pressure-knowledge-report,honest,20,8025,-115.59326171875,-119.6859359741211,-4.092674255371094
harm-pressure-knowledge-report,honest,21,4171,-39.010250091552734,-42.906002044677734,-3.895751953125
harm-pressure-knowledge-report,honest,22,945,-121.0048828125,-124.7833251953125,-3.7784423828125
harm-pressure-knowledge-report,honest,23,3043,-58.57798767089844,-62.33299255371094,-3.7550048828125
harm-pressure-knowledge-report,honest,24,5959,-56.63627243041992,-60.32163619995117,-3.68536376953125
harm-pressure-knowledge-report,honest,25,4601,-118.37346649169922,-122.04204559326172,-3.6685791015625
harm-pressure-knowledge-report,honest,26,7726,-44.29568862915039,-47.836612701416016,-3.540924072265625
harm-pressure-knowledge-report,honest,27,1832,-8.958658218383789,-12.383346557617188,-3.4246883392333984
harm-pressure-knowledge-report,honest,28,4076,-35.1806755065918,-38.56171417236328,-3.3810386657714844
harm-pressure-knowledge-report,honest,29,2391,-20.145912170410156,-23.466827392578125,-3.3209152221679688
harm-pressure-knowledge-report,honest,30,3409,-48.88211441040039,-52.19701385498047,-3.314899444580078
harm-pressure-knowledge-report,honest,31,260,-0.278556227684021,-3.5710396766662598,-3.292483329772949
harm-pressure-knowledge-report,honest,32,2957,-55.28734588623047,-58.51243591308594,-3.2250900268554688
harm-pressure-knowledge-report,honest,33,458,-17.031478881835938,-20.25082015991211,-3.219341278076172
harm-pressure-knowledge-report,honest,34,4506,-13.624894142150879,-16.823217391967773,-3.1983232498168945
harm-pressure-knowledge-report,honest,35,2484,-39.57239532470703,-42.690460205078125,-3.1180648803710938
harm-pressure-knowledge-report,honest,36,7310,-26.343172073364258,-29.447050094604492,-3.1038780212402344
harm-pressure-knowledge-report,honest,37,7096,-10.407629013061523,-13.475682258605957,-3.0680532455444336
harm-pressure-knowledge-report,honest,38,4721,-33.0723876953125,-36.110687255859375,-3.038299560546875
harm-pressure-knowledge-report,honest,39,2104,-27.94364356994629,-30.960838317871094,-3.0171947479248047
harm-pressure-knowledge-report,honest,40,520,11.116111755371094,8.120274543762207,-2.9958372116088867
harm-pressure-knowledge-report,honest,41,7359,-17.98523712158203,-20.9705810546875,-2.9853439331054688
harm-pressure-knowledge-report,honest,42,5542,-48.7703742980957,-51.74540710449219,-2.9750328063964844
harm-pressure-knowledge-report,honest,43,2645,-19.318439483642578,-22.27617645263672,-2.9577369689941406
harm-pressure-knowledge-report,honest,44,1984,-11.559882164001465,-14.514379501342773,-2.9544973373413086
harm-pressure-knowledge-report,honest,45,6423,-31.75514030456543,-34.70226287841797,-2.947122573852539
harm-pressure-knowledge-report,honest,46,1077,-22.34131622314453,-25.28689956665039,-2.9455833435058594
harm-pressure-knowledge-report,honest,47,590,-20.166086196899414,-23.098403930664062,-2.9323177337646484
harm-pressure-knowledge-report,honest,48,3927,-45.178924560546875,-48.07402801513672,-2.8951034545898438
harm-pressure-knowledge-report,honest,49,1512,-20.137292861938477,-23.02684783935547,-2.889554977416992
harm-pressure-knowledge-report,honest,50,6706,-44.81306076049805,-47.6951904296875,-2.882129669189453
