dataset,distinctive_for,rank,dimension,honest_mean,deceptive_mean,difference
insider-trading,deceptive,1,5114,1436.1259765625,1444.005615234375,7.879638671875
insider-trading,deceptive,2,7306,604.8499755859375,608.461669921875,3.6116943359375
insider-trading,deceptive,3,7033,199.9785919189453,202.6470489501953,2.66845703125
insider-trading,deceptive,4,4031,-191.35931396484375,-188.69329833984375,2.666015625
insider-trading,deceptive,5,6857,808.13037109375,810.5562133789062,2.42584228515625
insider-trading,deceptive,6,2567,276.368896484375,278.1867370605469,1.817840576171875
insider-trading,deceptive,7,4385,-491.1092834472656,-489.5881042480469,1.52117919921875
insider-trading,deceptive,8,636,148.21102905273438,149.65884399414062,1.44781494140625
insider-trading,deceptive,9,3852,-97.50910949707031,-96.12448120117188,1.3846282958984375
insider-trading,deceptive,10,5479,208.70358276367188,209.97702026367188,1.2734375
insider-trading,deceptive,11,3286,156.84033203125,158.09996032714844,1.2596282958984375
insider-trading,deceptive,12,7703,-401.8448486328125,-400.6426086425781,1.202239990234375
insider-trading,deceptive,13,4994,630.5971069335938,631.760498046875,1.16339111328125
insider-trading,deceptive,14,1532,237.5377197265625,238.6351776123047,1.0974578857421875
insider-trading,deceptive,15,233,198.89779663085938,199.99490356445312,1.09710693359375
insider-trading,deceptive,16,3099,120.06573486328125,120.98694610595703,0.9212112426757812
insider-trading,deceptive,17,4482,73.4655532836914,74.27619934082031,0.8106460571289062
insider-trading,deceptive,18,933,73.84418487548828,74.60684204101562,0.7626571655273438
insider-trading,deceptive,19,3074,-52.73222732543945,-51.983612060546875,0.7486152648925781
insider-trading,deceptive,20,7072,56.42223358154297,57.147037506103516,0.7248039245605469
insider-trading,deceptive,21,7030,140.77415466308594,141.44334411621094,0.669189453125
insider-trading,deceptive,22,514,-44.99993133544922,-44.344600677490234,0.6553306579589844
insider-trading,deceptive,23,5670,56.12861251831055,56.778472900390625,0.6498603820800781
insider-trading,deceptive,24,589,56.387542724609375,57.02350616455078,0.6359634399414062
insider-trading,deceptive,25,5292,75.33084106445312,75.96094512939453,0.6301040649414062
insider-trading,deceptive,26,3131,38.76338577270508,39.341670989990234,0.5782852172851562
insider-trading,deceptive,27,1086,46.893516540527344,47.46663284301758,0.5731163024902344
insider-trading,deceptive,28,6296,57.93696594238281,58.50794219970703,0.5709762573242188
insider-trading,deceptive,29,4445,40.530357360839844,41.09211349487305,0.5617561340332031
insider-trading,deceptive,30,771,72.570068359375,73.12808990478516,0.5580215454101562
insider-trading,deceptive,31,896,21.920934677124023,22.474563598632812,0.5536289215087891
insider-trading,deceptive,32,6723,53.730682373046875,54.2761116027832,0.5454292297363281
insider-trading,deceptive,33,5291,18.71913719177246,19.26228141784668,0.5431442260742188
insider-trading,deceptive,34,3207,61.526065826416016,62.06577682495117,0.5397109985351562
insider-trading,deceptive,35,5177,41.434940338134766,41.9724006652832,0.5374603271484375
insider-trading,deceptive,36,6900,37.5067024230957,38.041385650634766,0.5346832275390625
insider-trading,deceptive,37,4758,53.06665802001953,53.599525451660156,0.532867431640625
insider-trading,deceptive,38,6062,29.488849639892578,30.019350051879883,0.5305004119873047
insider-trading,deceptive,39,6139,36.853355407714844,37.38053894042969,0.5271835327148438
insider-trading,deceptive,40,1484,36.8150749206543,37.341880798339844,0.5268058776855469
insider-trading,deceptive,41,1507,53.847171783447266,54.372398376464844,0.5252265930175781
insider-trading,deceptive,42,4054,41.32724380493164,41.85000228881836,0.5227584838867188
insider-trading,deceptive,43,87,67.67058563232422,68.1895751953125,0.5189895629882812
insider-trading,deceptive,44,4536,20.95464324951172,21.47355079650879,0.5189075469970703
insider-trading,deceptive,45,553,39.17478942871094,39.692176818847656,0.5173873901367188
insider-trading,deceptive,46,7640,82.27615356445312,82.79164123535156,0.5154876708984375
insider-trading,deceptive,47,2820,15.9003267288208,16.415220260620117,0.5148935317993164
insider-trading,deceptive,48,6627,24.95375633239746,25.462181091308594,0.5084247589111328
insider-trading,deceptive,49,7413,27.403579711914062,27.911117553710938,0.507537841796875
insider-trading,deceptive,50,4472,58.623565673828125,59.129852294921875,0.50628662109375
