dataset,distinctive_for,rank,dimension,honest_mean,deceptive_mean,difference
insider-trading,honest,1,155,-727.9160766601562,-731.6397705078125,-3.72369384765625
insider-trading,honest,2,4030,-145.4873046875,-149.08274841308594,-3.5954437255859375
insider-trading,honest,3,6892,-313.47943115234375,-315.5286560058594,-2.049224853515625
insider-trading,honest,4,6853,-456.91143798828125,-458.7276916503906,-1.816253662109375
insider-trading,honest,5,3467,-734.8848266601562,-736.621337890625,-1.73651123046875
insider-trading,honest,6,5730,-423.7737121582031,-425.3689270019531,-1.59521484375
insider-trading,honest,7,7277,110.80887603759766,109.33452606201172,-1.4743499755859375
insider-trading,honest,8,350,-127.0613784790039,-128.16104125976562,-1.0996627807617188
insider-trading,honest,9,3373,-200.0928192138672,-201.18341064453125,-1.0905914306640625
insider-trading,honest,10,8026,-40.28647994995117,-41.37264633178711,-1.0861663818359375
insider-trading,honest,11,7876,127.96534729003906,126.88121032714844,-1.084136962890625
insider-trading,honest,12,4601,-150.73040771484375,-151.49728393554688,-0.766876220703125
insider-trading,honest,13,7951,-31.683189392089844,-32.411067962646484,-0.7278785705566406
insider-trading,honest,14,3815,-42.67390060424805,-43.32442855834961,-0.6505279541015625
insider-trading,honest,15,5268,-74.83853912353516,-75.47518157958984,-0.6366424560546875
insider-trading,honest,16,4420,-20.60293197631836,-21.21941566467285,-0.6164836883544922
insider-trading,honest,17,928,-24.5504093170166,-25.159448623657227,-0.609039306640625
insider-trading,honest,18,5662,-66.50128936767578,-67.10453796386719,-0.6032485961914062
insider-trading,honest,19,43,2.684675693511963,2.099433660507202,-0.5852420330047607
insider-trading,honest,20,2719,-33.16925811767578,-33.751678466796875,-0.5824203491210938
insider-trading,honest,21,3847,-72.8378677368164,-73.4183349609375,-0.5804672241210938
insider-trading,honest,22,4077,-33.38164520263672,-33.96087646484375,-0.5792312622070312
insider-trading,honest,23,8046,-59.294769287109375,-59.86981201171875,-0.575042724609375
insider-trading,honest,24,6050,-43.6098518371582,-44.18320083618164,-0.5733489990234375
insider-trading,honest,25,5890,-67.88789367675781,-68.45911407470703,-0.5712203979492188
insider-trading,honest,26,6210,-36.00210952758789,-36.57041549682617,-0.5683059692382812
insider-trading,honest,27,5161,-59.39209747314453,-59.94651794433594,-0.5544204711914062
insider-trading,honest,28,6067,-48.6591796875,-49.20934295654297,-0.5501632690429688
insider-trading,honest,29,6448,-58.943519592285156,-59.493080139160156,-0.549560546875
insider-trading,honest,30,2305,-55.17128372192383,-55.71685028076172,-0.5455665588378906
insider-trading,honest,31,3036,-32.985557556152344,-33.530242919921875,-0.5446853637695312
insider-trading,honest,32,6891,0.5553097128868103,0.022349366918206215,-0.5329603552818298
insider-trading,honest,33,2500,-39.26639175415039,-39.7990837097168,-0.5326919555664062
insider-trading,honest,34,62,-17.79135513305664,-18.32164764404297,-0.5302925109863281
insider-trading,honest,35,7983,-46.91990661621094,-47.445152282714844,-0.5252456665039062
insider-trading,honest,36,5227,-37.952816009521484,-38.477535247802734,-0.52471923828125
insider-trading,honest,37,2010,-40.2259407043457,-40.747962951660156,-0.5220222473144531
insider-trading,honest,38,4993,-54.37785339355469,-54.89977264404297,-0.5219192504882812
insider-trading,honest,39,2868,-49.823795318603516,-50.341156005859375,-0.5173606872558594
insider-trading,honest,40,7897,-45.220306396484375,-45.73659133911133,-0.5162849426269531
insider-trading,honest,41,7996,-44.3034782409668,-44.817996978759766,-0.5145187377929688
insider-trading,honest,42,8155,-34.95690155029297,-35.467811584472656,-0.5109100341796875
insider-trading,honest,43,704,-60.894775390625,-61.40519332885742,-0.5104179382324219
insider-trading,honest,44,4550,-61.704750061035156,-62.210105895996094,-0.5053558349609375
insider-trading,honest,45,2574,-12.554533958435059,-13.054561614990234,-0.5000276565551758
insider-trading,honest,46,2059,-31.3680362701416,-31.863874435424805,-0.4958381652832031
insider-trading,honest,47,1996,-25.067712783813477,-25.56188201904297,-0.4941692352294922
insider-trading,honest,48,6672,-5.055089950561523,-5.5486884117126465,-0.49359846115112305
insider-trading,honest,49,389,6.656651973724365,6.164157867431641,-0.4924941062927246
insider-trading,honest,50,4978,-14.0779390335083,-14.570051193237305,-0.4921121597290039
