dataset,distinctive_for,rank,dimension,honest_mean,deceptive_mean,difference
instructed-deception,deceptive,1,5114,1314.009521484375,1390.5806884765625,76.5711669921875
instructed-deception,deceptive,2,6970,160.7192840576172,202.45263671875,41.73335266113281
instructed-deception,deceptive,3,6857,745.6600341796875,779.7704467773438,34.11041259765625
instructed-deception,deceptive,4,3099,93.15908813476562,123.69287872314453,30.533790588378906
instructed-deception,deceptive,5,4994,618.4386596679688,642.2672119140625,23.82855224609375
instructed-deception,deceptive,6,2232,256.8689880371094,279.42633056640625,22.557342529296875
instructed-deception,deceptive,7,7306,597.7538452148438,616.6800537109375,18.92620849609375
instructed-deception,deceptive,8,7033,173.26271057128906,186.63587951660156,13.3731689453125
instructed-deception,deceptive,9,1071,58.35145950317383,69.98818969726562,11.636730194091797
instructed-deception,deceptive,10,636,106.82471466064453,118.42668151855469,11.601966857910156
instructed-deception,deceptive,11,2567,261.0137023925781,272.2104797363281,11.19677734375
instructed-deception,deceptive,12,2387,87.67916870117188,98.22332000732422,10.544151306152344
instructed-deception,deceptive,13,7876,115.81819152832031,125.8039779663086,9.985786437988281
instructed-deception,deceptive,14,4482,74.42798614501953,82.5276870727539,8.099700927734375
instructed-deception,deceptive,15,3222,120.6981201171875,127.64400482177734,6.945884704589844
instructed-deception,deceptive,16,233,190.0994873046875,196.89288330078125,6.79339599609375
instructed-deception,deceptive,17,7030,135.6005401611328,142.09645080566406,6.49591064453125
instructed-deception,deceptive,18,5479,201.43310546875,207.3880615234375,5.9549560546875
instructed-deception,deceptive,19,1532,230.1187286376953,235.49461364746094,5.375885009765625
instructed-deception,deceptive,20,7908,50.58399200439453,55.66014862060547,5.0761566162109375
instructed-deception,deceptive,21,4879,-8.937416076660156,-3.9547245502471924,4.982691764831543
instructed-deception,deceptive,22,4543,47.35334777832031,52.07578659057617,4.722438812255859
instructed-deception,deceptive,23,4488,58.874332427978516,63.42906951904297,4.554737091064453
instructed-deception,deceptive,24,1455,58.03972244262695,62.55335998535156,4.513637542724609
instructed-deception,deceptive,25,1872,46.24690628051758,50.75064468383789,4.5037384033203125
instructed-deception,deceptive,26,1827,55.52391815185547,59.88090133666992,4.356983184814453
instructed-deception,deceptive,27,7064,58.34015655517578,62.52367401123047,4.1835174560546875
instructed-deception,deceptive,28,933,73.4595718383789,77.62659454345703,4.167022705078125
instructed-deception,deceptive,29,3942,57.92085266113281,61.99717712402344,4.076324462890625
instructed-deception,deceptive,30,5292,73.61173248291016,77.49497985839844,3.8832473754882812
instructed-deception,deceptive,31,3246,47.7833366394043,51.663028717041016,3.8796920776367188
instructed-deception,deceptive,32,6006,78.7176513671875,82.54312133789062,3.825469970703125
instructed-deception,deceptive,33,4930,50.32420349121094,54.10960388183594,3.785400390625
instructed-deception,deceptive,34,5153,8.089370727539062,11.845248222351074,3.7558774948120117
instructed-deception,deceptive,35,2204,24.860158920288086,28.5933837890625,3.733224868774414
instructed-deception,deceptive,36,6030,40.3062744140625,44.03656768798828,3.7302932739257812
instructed-deception,deceptive,37,3286,154.72314453125,158.4515380859375,3.7283935546875
instructed-deception,deceptive,38,7875,156.07989501953125,159.78305053710938,3.703155517578125
instructed-deception,deceptive,39,5164,44.821346282958984,48.520172119140625,3.6988258361816406
instructed-deception,deceptive,40,2871,31.393417358398438,35.05413818359375,3.6607208251953125
instructed-deception,deceptive,41,6329,48.85245895385742,52.480682373046875,3.628223419189453
instructed-deception,deceptive,42,8184,51.53611755371094,55.13309097290039,3.596973419189453
instructed-deception,deceptive,43,4728,35.46782302856445,39.052947998046875,3.585124969482422
instructed-deception,deceptive,44,2776,65.76349639892578,69.3406753540039,3.577178955078125
instructed-deception,deceptive,45,7675,65.51933288574219,69.06050109863281,3.541168212890625
instructed-deception,deceptive,46,955,43.93684005737305,47.46075439453125,3.523914337158203
instructed-deception,deceptive,47,3252,11.519418716430664,15.038358688354492,3.518939971923828
instructed-deception,deceptive,48,3398,35.091590881347656,38.604942321777344,3.5133514404296875
instructed-deception,deceptive,49,6625,51.618080139160156,55.124813079833984,3.506732940673828
instructed-deception,deceptive,50,5644,42.01688766479492,45.50853729248047,3.491649627685547
