dataset,distinctive_for,rank,dimension,honest_mean,deceptive_mean,difference
instructed-deception,honest,1,620,-425.2084045410156,-453.9681701660156,-28.759765625
instructed-deception,honest,2,6853,-449.8708190917969,-478.4767150878906,-28.60589599609375
instructed-deception,honest,3,4385,-487.25091552734375,-510.33441162109375,-23.08349609375
instructed-deception,honest,4,6892,-296.2862548828125,-317.12933349609375,-20.84307861328125
instructed-deception,honest,5,4031,-156.66900634765625,-175.4939422607422,-18.824935913085938
instructed-deception,honest,6,3467,-813.6187133789062,-831.350341796875,-17.73162841796875
instructed-deception,honest,7,5730,-390.9685974121094,-408.2370300292969,-17.2684326171875
instructed-deception,honest,8,3373,-206.67335510253906,-223.18905639648438,-16.515701293945312
instructed-deception,honest,9,514,-62.11070251464844,-76.99507904052734,-14.884376525878906
instructed-deception,honest,10,6890,-281.5013732910156,-293.5966491699219,-12.09527587890625
instructed-deception,honest,11,7703,-415.58404541015625,-427.4046936035156,-11.820648193359375
instructed-deception,honest,12,4030,-129.61251831054688,-141.4296112060547,-11.817092895507812
instructed-deception,honest,13,634,-244.8206024169922,-255.9691619873047,-11.1485595703125
instructed-deception,honest,14,7188,-167.50523376464844,-175.4788055419922,-7.97357177734375
instructed-deception,honest,15,6317,-69.52715301513672,-76.76074981689453,-7.2335968017578125
instructed-deception,honest,16,4601,-144.16014099121094,-151.10293579101562,-6.9427947998046875
instructed-deception,honest,17,945,-142.21334838867188,-148.63876342773438,-6.4254150390625
instructed-deception,honest,18,3074,-60.450984954833984,-66.3235855102539,-5.872600555419922
instructed-deception,honest,19,350,-109.65055847167969,-114.57740020751953,-4.926841735839844
instructed-deception,honest,20,5959,-71.13794708251953,-76.02745056152344,-4.889503479003906
instructed-deception,honest,21,4247,-68.41783142089844,-73.11280822753906,-4.694976806640625
instructed-deception,honest,22,5978,-58.226966857910156,-62.62324905395508,-4.396282196044922
instructed-deception,honest,23,7689,-50.18497085571289,-54.46091079711914,-4.27593994140625
instructed-deception,honest,24,5165,-51.935115814208984,-56.15743637084961,-4.222320556640625
instructed-deception,honest,25,4437,-76.39608001708984,-80.50900268554688,-4.112922668457031
instructed-deception,honest,26,3245,-53.44890213012695,-57.53565216064453,-4.086750030517578
instructed-deception,honest,27,6967,-52.856178283691406,-56.83467102050781,-3.9784927368164062
instructed-deception,honest,28,759,-56.898834228515625,-60.85517501831055,-3.956340789794922
instructed-deception,honest,29,1784,-59.54518127441406,-63.486148834228516,-3.940967559814453
instructed-deception,honest,30,2641,-64.70484924316406,-68.59098815917969,-3.886138916015625
instructed-deception,honest,31,7267,-43.32913589477539,-47.205101013183594,-3.875965118408203
instructed-deception,honest,32,1847,-76.13423919677734,-79.99839782714844,-3.8641586303710938
instructed-deception,honest,33,3409,-61.72358322143555,-65.56707763671875,-3.843494415283203
instructed-deception,honest,34,5015,-23.646005630493164,-27.460540771484375,-3.814535140991211
instructed-deception,honest,35,5146,-72.17735290527344,-75.97590637207031,-3.798553466796875
instructed-deception,honest,36,6067,-48.6981315612793,-52.49552917480469,-3.7973976135253906
instructed-deception,honest,37,4784,-54.366180419921875,-58.07220458984375,-3.706024169921875
instructed-deception,honest,38,4370,-44.15983963012695,-47.86429214477539,-3.7044525146484375
instructed-deception,honest,39,3371,-51.6358528137207,-55.33907699584961,-3.7032241821289062
instructed-deception,honest,40,7445,-49.85769271850586,-53.55106735229492,-3.6933746337890625
instructed-deception,honest,41,2006,-46.43681716918945,-50.128292083740234,-3.6914749145507812
instructed-deception,honest,42,7277,117.72277069091797,114.04086303710938,-3.6819076538085938
instructed-deception,honest,43,7685,-27.422128677368164,-31.07906723022461,-3.6569385528564453
instructed-deception,honest,44,171,-36.05054473876953,-39.696983337402344,-3.6464385986328125
instructed-deception,honest,45,4525,-26.086668014526367,-29.721633911132812,-3.6349658966064453
instructed-deception,honest,46,7973,-37.76142501831055,-41.375526428222656,-3.6141014099121094
instructed-deception,honest,47,2235,-58.159847259521484,-61.76482009887695,-3.6049728393554688
instructed-deception,honest,48,7897,-42.734039306640625,-46.3130989074707,-3.579059600830078
instructed-deception,honest,49,4134,-39.021583557128906,-42.600067138671875,-3.5784835815429688
instructed-deception,honest,50,4076,-42.77203369140625,-46.34669876098633,-3.574665069580078
