dataset,distinctive_for,rank,dimension,honest_mean,deceptive_mean,difference
soft-trigger,deceptive,1,6857,658.1517944335938,680.9085693359375,22.75677490234375
soft-trigger,deceptive,2,6970,159.44239807128906,174.216796875,14.774398803710938
soft-trigger,deceptive,3,3099,64.36528778076172,76.2706069946289,11.905319213867188
soft-trigger,deceptive,4,2232,215.54196166992188,226.659423828125,11.117462158203125
soft-trigger,deceptive,5,4994,512.1350708007812,521.5891723632812,9.4541015625
soft-trigger,deceptive,6,7876,97.89506530761719,106.67469787597656,8.779632568359375
soft-trigger,deceptive,7,8043,238.9813995361328,244.8540802001953,5.8726806640625
soft-trigger,deceptive,8,3222,102.32171630859375,107.81227111816406,5.4905548095703125
soft-trigger,deceptive,9,7033,137.7631378173828,143.18484497070312,5.4217071533203125
soft-trigger,deceptive,10,3467,-625.6449584960938,-620.6956176757812,4.9493408203125
soft-trigger,deceptive,11,4482,66.78262329101562,71.07874298095703,4.296119689941406
soft-trigger,deceptive,12,233,159.52435302734375,163.80174255371094,4.2773895263671875
soft-trigger,deceptive,13,5479,162.62014770507812,166.4366455078125,3.816497802734375
soft-trigger,deceptive,14,5566,35.46099853515625,38.30858612060547,2.8475875854492188
soft-trigger,deceptive,15,7263,29.447160720825195,32.263694763183594,2.8165340423583984
soft-trigger,deceptive,16,5250,1.415370225906372,4.0397233963012695,2.6243531703948975
soft-trigger,deceptive,17,7306,523.1536865234375,525.7373657226562,2.58367919921875
soft-trigger,deceptive,18,5358,8.313191413879395,10.888045310974121,2.5748538970947266
soft-trigger,deceptive,19,1388,47.12224197387695,49.621578216552734,2.4993362426757812
soft-trigger,deceptive,20,4803,1.7767653465270996,4.270788669586182,2.494023323059082
soft-trigger,deceptive,21,2567,239.96510314941406,242.4256134033203,2.46051025390625
soft-trigger,deceptive,22,1151,17.863550186157227,20.297548294067383,2.4339981079101562
soft-trigger,deceptive,23,3399,14.696244239807129,17.120386123657227,2.4241418838500977
soft-trigger,deceptive,24,1327,13.66793441772461,16.05493927001953,2.387004852294922
soft-trigger,deceptive,25,4558,27.95958709716797,30.326467514038086,2.366880416870117
soft-trigger,deceptive,26,1595,5.195760726928711,7.527792453765869,2.332031726837158
soft-trigger,deceptive,27,5811,27.593921661376953,29.90756607055664,2.3136444091796875
soft-trigger,deceptive,28,7999,60.263370513916016,62.570194244384766,2.30682373046875
soft-trigger,deceptive,29,2666,57.34577941894531,59.64790344238281,2.3021240234375
soft-trigger,deceptive,30,7540,13.170025825500488,15.469582557678223,2.2995567321777344
soft-trigger,deceptive,31,3074,-44.67750549316406,-42.393272399902344,2.2842330932617188
soft-trigger,deceptive,32,120,20.712215423583984,22.990182876586914,2.2779674530029297
soft-trigger,deceptive,33,3125,1.0720478296279907,3.333193063735962,2.2611451148986816
soft-trigger,deceptive,34,1696,9.285944938659668,11.540459632873535,2.254514694213867
soft-trigger,deceptive,35,2684,32.56937789916992,34.817623138427734,2.2482452392578125
soft-trigger,deceptive,36,3852,-69.25277709960938,-67.02436065673828,2.2284164428710938
soft-trigger,deceptive,37,2657,11.250800132751465,13.450600624084473,2.199800491333008
soft-trigger,deceptive,38,4112,40.10051345825195,42.27968215942383,2.179168701171875
soft-trigger,deceptive,39,4472,45.38129425048828,47.550926208496094,2.1696319580078125
soft-trigger,deceptive,40,7295,13.528337478637695,15.694677352905273,2.166339874267578
soft-trigger,deceptive,41,5050,34.83926010131836,37.00229263305664,2.1630325317382812
soft-trigger,deceptive,42,4486,6.648128032684326,8.801935195922852,2.1538071632385254
soft-trigger,deceptive,43,7162,30.2379207611084,32.38902282714844,2.151102066040039
soft-trigger,deceptive,44,4083,12.742385864257812,14.891988754272461,2.1496028900146484
soft-trigger,deceptive,45,5778,11.901008605957031,14.031033515930176,2.1300249099731445
soft-trigger,deceptive,46,4342,15.124528884887695,17.247474670410156,2.122945785522461
soft-trigger,deceptive,47,7878,-2.6368844509124756,-0.5282185673713684,2.108665943145752
soft-trigger,deceptive,48,4480,45.78944396972656,47.897613525390625,2.1081695556640625
soft-trigger,deceptive,49,2457,6.068630695343018,8.176155090332031,2.1075243949890137
soft-trigger,deceptive,50,2969,22.96832847595215,25.074419021606445,2.106090545654297
