dataset,distinctive_for,rank,dimension,honest_mean,deceptive_mean,difference
soft-trigger,honest,1,5114,1327.127685546875,1292.2662353515625,-34.8614501953125
soft-trigger,honest,2,4031,-112.6184310913086,-135.72923278808594,-23.110801696777344
soft-trigger,honest,3,6853,-386.5535888671875,-402.0467224121094,-15.493133544921875
soft-trigger,honest,4,514,-55.64275360107422,-70.56100463867188,-14.918251037597656
soft-trigger,honest,5,5730,-330.169677734375,-343.2510986328125,-13.0814208984375
soft-trigger,honest,6,3373,-151.91236877441406,-163.986083984375,-12.073715209960938
soft-trigger,honest,7,6892,-258.2462463378906,-266.57208251953125,-8.325836181640625
soft-trigger,honest,8,620,-379.2459411621094,-387.3689880371094,-8.123046875
soft-trigger,honest,9,7277,87.97015380859375,80.43571472167969,-7.5344390869140625
soft-trigger,honest,10,4385,-409.7786560058594,-416.4634094238281,-6.68475341796875
soft-trigger,honest,11,4030,-109.26678466796875,-115.36802673339844,-6.1012420654296875
soft-trigger,honest,12,43,6.271937370300293,0.8033835291862488,-5.4685540199279785
soft-trigger,honest,13,7703,-345.16851806640625,-350.5684509277344,-5.399932861328125
soft-trigger,honest,14,945,-130.800537109375,-135.36279296875,-4.562255859375
soft-trigger,honest,15,3286,134.7757568359375,130.46160888671875,-4.31414794921875
soft-trigger,honest,16,1071,50.818572998046875,46.63275146484375,-4.185821533203125
soft-trigger,honest,17,4601,-119.0262451171875,-123.06842803955078,-4.042182922363281
soft-trigger,honest,18,8025,-111.7989501953125,-115.83930969238281,-4.0403594970703125
soft-trigger,honest,19,4879,-3.9612016677856445,-7.556904315948486,-3.595702648162842
soft-trigger,honest,20,2387,76.13036346435547,72.75372314453125,-3.3766403198242188
soft-trigger,honest,21,636,156.45555114746094,153.08079528808594,-3.374755859375
soft-trigger,honest,22,8182,-55.61763381958008,-58.94830322265625,-3.330669403076172
soft-trigger,honest,23,5959,-57.632904052734375,-60.49981689453125,-2.866912841796875
soft-trigger,honest,24,4012,-36.289615631103516,-39.06714630126953,-2.7775306701660156
soft-trigger,honest,25,6423,-31.677505493164062,-34.44532012939453,-2.7678146362304688
soft-trigger,honest,26,7188,-145.52259826660156,-148.23033142089844,-2.707733154296875
soft-trigger,honest,27,6933,-36.885414123535156,-39.58241271972656,-2.6969985961914062
soft-trigger,honest,28,6788,-36.46345520019531,-39.005088806152344,-2.5416336059570312
soft-trigger,honest,29,756,-22.487957000732422,-25.016666412353516,-2.5287094116210938
soft-trigger,honest,30,7766,-48.84838104248047,-51.37511444091797,-2.5267333984375
soft-trigger,honest,31,7121,-25.052547454833984,-27.576637268066406,-2.524089813232422
soft-trigger,honest,32,4784,-47.971622467041016,-50.468101501464844,-2.496479034423828
soft-trigger,honest,33,7740,-2.7243411540985107,-5.219016075134277,-2.4946749210357666
soft-trigger,honest,34,6869,-46.8417854309082,-49.3160285949707,-2.4742431640625
soft-trigger,honest,35,3477,-33.93791198730469,-36.391780853271484,-2.453868865966797
soft-trigger,honest,36,1838,-26.69599723815918,-29.119243621826172,-2.423246383666992
soft-trigger,honest,37,2752,-44.23173141479492,-46.64488983154297,-2.413158416748047
soft-trigger,honest,38,7736,-38.12406539916992,-40.5263786315918,-2.402313232421875
soft-trigger,honest,39,4176,-10.38859748840332,-12.774699211120605,-2.386101722717285
soft-trigger,honest,40,5949,-7.279604911804199,-9.654226303100586,-2.3746213912963867
soft-trigger,honest,41,5969,-30.24513816833496,-32.614192962646484,-2.3690547943115234
soft-trigger,honest,42,1077,-22.78409767150879,-25.128549575805664,-2.344451904296875
soft-trigger,honest,43,6146,-28.837989807128906,-31.172412872314453,-2.334423065185547
soft-trigger,honest,44,6763,-27.943164825439453,-30.266910552978516,-2.3237457275390625
soft-trigger,honest,45,759,-47.01409149169922,-49.318275451660156,-2.3041839599609375
soft-trigger,honest,46,224,-26.629243850708008,-28.930011749267578,-2.3007678985595703
soft-trigger,honest,47,709,-43.312129974365234,-45.612178802490234,-2.300048828125
soft-trigger,honest,48,5339,-39.82110595703125,-42.11992645263672,-2.2988204956054688
soft-trigger,honest,49,5780,0.020893467590212822,-2.276595115661621,-2.2974886894226074
soft-trigger,honest,50,4361,-16.680374145507812,-18.968801498413086,-2.2884273529052734
