dataset,class,rank,feature_idx,mean_activation
insider-trading,honest,1,47157,4.755445957183838
insider-trading,honest,2,51183,4.650017261505127
insider-trading,honest,3,32422,4.550628662109375
insider-trading,honest,4,49611,3.9217140674591064
insider-trading,honest,5,34806,3.7070114612579346
insider-trading,honest,6,54933,3.604440689086914
insider-trading,honest,7,49365,3.517300605773926
insider-trading,honest,8,64806,3.401960611343384
insider-trading,honest,9,28870,3.227382183074951
insider-trading,honest,10,22593,3.1840837001800537
insider-trading,honest,11,22531,3.1768741607666016
insider-trading,honest,12,57369,3.1168434619903564
insider-trading,honest,13,17523,3.1085045337677
insider-trading,honest,14,59268,3.090247631072998
insider-trading,honest,15,36889,3.0764474868774414
insider-trading,honest,16,25864,3.064959764480591
insider-trading,honest,17,414,3.0637660026550293
insider-trading,honest,18,11977,3.0547101497650146
insider-trading,honest,19,1239,3.0367801189422607
insider-trading,honest,20,22026,3.0177648067474365
insider-trading,honest,21,26784,3.0156562328338623
insider-trading,honest,22,40965,3.0021655559539795
insider-trading,honest,23,55790,3.0015392303466797
insider-trading,honest,24,47491,2.9939208030700684
insider-trading,honest,25,46160,2.9359889030456543
insider-trading,honest,26,54935,2.932321786880493
insider-trading,honest,27,16880,2.9199092388153076
insider-trading,honest,28,41642,2.9164345264434814
insider-trading,honest,29,17856,2.9104716777801514
insider-trading,honest,30,18798,2.9050393104553223
insider-trading,honest,31,49219,2.874490976333618
insider-trading,honest,32,37158,2.8681135177612305
insider-trading,honest,33,21237,2.85729718208313
insider-trading,honest,34,34065,2.8456387519836426
insider-trading,honest,35,28001,2.8334462642669678
insider-trading,honest,36,22580,2.825174331665039
insider-trading,honest,37,46488,2.8164734840393066
insider-trading,honest,38,43045,2.815598249435425
insider-trading,honest,39,53277,2.796830177307129
insider-trading,honest,40,64152,2.795203447341919
insider-trading,honest,41,40946,2.7857065200805664
insider-trading,honest,42,2639,2.777998208999634
insider-trading,honest,43,57366,2.771740198135376
insider-trading,honest,44,11658,2.767277479171753
insider-trading,honest,45,14561,2.7653675079345703
insider-trading,honest,46,103,2.7637758255004883
insider-trading,honest,47,59477,2.7485568523406982
insider-trading,honest,48,58295,2.7481391429901123
insider-trading,honest,49,28995,2.7460312843322754
insider-trading,honest,50,18939,2.7430174350738525
insider-trading,deceptive,1,47157,4.8076090812683105
insider-trading,deceptive,2,51183,4.593831539154053
insider-trading,deceptive,3,32422,4.5370988845825195
insider-trading,deceptive,4,49611,3.919177293777466
insider-trading,deceptive,5,34806,3.726203203201294
insider-trading,deceptive,6,54933,3.576251268386841
insider-trading,deceptive,7,49365,3.5105783939361572
insider-trading,deceptive,8,64806,3.4829916954040527
insider-trading,deceptive,9,28870,3.292679786682129
insider-trading,deceptive,10,22593,3.1764631271362305
insider-trading,deceptive,11,22531,3.1438374519348145
insider-trading,deceptive,12,57369,3.138072967529297
insider-trading,deceptive,13,17523,3.132009744644165
insider-trading,deceptive,14,36889,3.1266608238220215
insider-trading,deceptive,15,59268,3.119675636291504
insider-trading,deceptive,16,25864,3.0983288288116455
insider-trading,deceptive,17,414,3.085599899291992
insider-trading,deceptive,18,1239,3.050527811050415
insider-trading,deceptive,19,26784,3.0350117683410645
insider-trading,deceptive,20,22026,3.034769058227539
insider-trading,deceptive,21,11977,3.0197582244873047
insider-trading,deceptive,22,16880,2.9805898666381836
insider-trading,deceptive,23,55790,2.974313497543335
insider-trading,deceptive,24,40965,2.968703508377075
insider-trading,deceptive,25,47491,2.9573864936828613
insider-trading,deceptive,26,54935,2.952624797821045
insider-trading,deceptive,27,17856,2.9396095275878906
insider-trading,deceptive,28,41642,2.909543752670288
insider-trading,deceptive,29,18798,2.9072105884552
insider-trading,deceptive,30,46160,2.901740312576294
insider-trading,deceptive,31,34065,2.8955864906311035
insider-trading,deceptive,32,37158,2.885106086730957
insider-trading,deceptive,33,21237,2.878866195678711
insider-trading,deceptive,34,49219,2.873112916946411
insider-trading,deceptive,35,22580,2.840974807739258
insider-trading,deceptive,36,46488,2.819347858428955
insider-trading,deceptive,37,40946,2.8182709217071533
insider-trading,deceptive,38,57366,2.811230182647705
insider-trading,deceptive,39,11658,2.8070218563079834
insider-trading,deceptive,40,43045,2.805593490600586
insider-trading,deceptive,41,28001,2.801508665084839
insider-trading,deceptive,42,14561,2.7948920726776123
insider-trading,deceptive,43,53277,2.7917661666870117
insider-trading,deceptive,44,32063,2.789461612701416
insider-trading,deceptive,45,2639,2.787818193435669
insider-trading,deceptive,46,64152,2.769005537033081
insider-trading,deceptive,47,14020,2.7641398906707764
insider-trading,deceptive,48,59477,2.762937545776367
insider-trading,deceptive,49,38131,2.7558164596557617
insider-trading,deceptive,50,28995,2.754121780395508
instructed-deception,honest,1,51183,4.410075664520264
instructed-deception,honest,2,47157,4.056118488311768
instructed-deception,honest,3,49365,3.74536395072937
instructed-deception,honest,4,11658,3.6786532402038574
instructed-deception,honest,5,870,3.641037940979004
instructed-deception,honest,6,32422,3.6087167263031006
instructed-deception,honest,7,59268,3.593214273452759
instructed-deception,honest,8,57369,3.5489871501922607
instructed-deception,honest,9,41532,3.508618116378784
instructed-deception,honest,10,55790,3.5056581497192383
instructed-deception,honest,11,26912,3.4508211612701416
instructed-deception,honest,12,54933,3.3617093563079834
instructed-deception,honest,13,22531,3.336663246154785
instructed-deception,honest,14,49611,3.2320098876953125
instructed-deception,honest,15,47491,3.2050867080688477
instructed-deception,honest,16,63138,3.1634740829467773
instructed-deception,honest,17,28870,3.088385820388794
instructed-deception,honest,18,14561,3.000077962875366
instructed-deception,honest,19,47597,2.9999029636383057
instructed-deception,honest,20,49219,2.9843013286590576
instructed-deception,honest,21,34806,2.9641225337982178
instructed-deception,honest,22,57366,2.903996467590332
instructed-deception,honest,23,46488,2.8996422290802
instructed-deception,honest,24,21237,2.8870787620544434
instructed-deception,honest,25,49146,2.8841769695281982
instructed-deception,honest,26,26784,2.8795835971832275
instructed-deception,honest,27,16880,2.8764922618865967
instructed-deception,honest,28,59435,2.858215570449829
instructed-deception,honest,29,2639,2.832512855529785
instructed-deception,honest,30,25864,2.8202157020568848
instructed-deception,honest,31,40612,2.819997787475586
instructed-deception,honest,32,48339,2.813830852508545
instructed-deception,honest,33,414,2.7981343269348145
instructed-deception,honest,34,65496,2.779919385910034
instructed-deception,honest,35,30136,2.7787411212921143
instructed-deception,honest,36,29336,2.7720844745635986
instructed-deception,honest,37,22026,2.7696533203125
instructed-deception,honest,38,22580,2.741304397583008
instructed-deception,honest,39,4432,2.738804817199707
instructed-deception,honest,40,17856,2.7372446060180664
instructed-deception,honest,41,3325,2.7212870121002197
instructed-deception,honest,42,22593,2.720980405807495
instructed-deception,honest,43,61112,2.7198948860168457
instructed-deception,honest,44,46160,2.707697629928589
instructed-deception,honest,45,23354,2.7061450481414795
instructed-deception,honest,46,46247,2.705855369567871
instructed-deception,honest,47,58700,2.7009871006011963
instructed-deception,honest,48,34480,2.676978349685669
instructed-deception,honest,49,1239,2.6767733097076416
instructed-deception,honest,50,103,2.6767466068267822
instructed-deception,deceptive,1,51183,4.325291156768799
instructed-deception,deceptive,2,47157,4.29521369934082
instructed-deception,deceptive,3,870,4.22515869140625
instructed-deception,deceptive,4,49365,3.778186082839966
instructed-deception,deceptive,5,34806,3.6914453506469727
instructed-deception,deceptive,6,32422,3.5908946990966797
instructed-deception,deceptive,7,22531,3.5865418910980225
instructed-deception,deceptive,8,11658,3.5734128952026367
instructed-deception,deceptive,9,26912,3.5701351165771484
instructed-deception,deceptive,10,59268,3.5501670837402344
instructed-deception,deceptive,11,57369,3.5498106479644775
instructed-deception,deceptive,12,54933,3.5161800384521484
instructed-deception,deceptive,13,41532,3.4972097873687744
instructed-deception,deceptive,14,55790,3.4475669860839844
instructed-deception,deceptive,15,47491,3.3778481483459473
instructed-deception,deceptive,16,28870,3.347269296646118
instructed-deception,deceptive,17,57366,3.2778942584991455
instructed-deception,deceptive,18,16880,3.2682228088378906
instructed-deception,deceptive,19,49219,3.2517731189727783
