probe,max_similarity,top_10_mean,top_100_mean,overall_mean,overall_std
single_soft-trigger,0.08585747018579543,0.06234821519626156,0.046715516790863505,-0.0002650537342752487,0.011852858537657355
single_convincing-game,0.1926927014504307,0.14153359489983375,0.08659012268418093,0.0006591282186218679,0.018110447045378127
single_instructed-deception,0.18675905259531161,0.1350670888739814,0.07994455223563052,0.000224264835419471,0.01429425257140639
single_harm-pressure-choice,0.10230809777717215,0.07515971490426429,0.05148388863020298,5.271087725686401e-05,0.01176979856748764
single_harm-pressure-knowledge-report,0.11338984121674786,0.08103991769737705,0.058186503226273716,-0.00013615917525207057,0.012627746642895878
single_insider-trading,0.09272250542773611,0.07416286752368503,0.05769461875645101,-8.509099744279688e-05,0.013510427919236819
loo_soft-trigger,0.09850315040185632,0.08164008030411539,0.05892930071812663,0.00022008050692138572,0.013311850463333266
loo_convincing-game,0.08797460517026831,0.07308664811123128,0.05595992979887823,0.00042630353147848725,0.013001498448052633
loo_instructed-deception,0.08752831942067812,0.07282852521938875,0.05427860791621176,-0.00014487176062962664,0.01295267620469769
loo_harm-pressure-choice,0.09529192220119441,0.07793083640344617,0.05810467470884967,0.00013289546763038107,0.013434908301770496
loo_harm-pressure-knowledge-report,0.10600887509907796,0.08031424958838633,0.056927867664559234,8.473164297302333e-05,0.01323878707070225
loo_insider-trading,0.07789575782274089,0.06638617407197664,0.049508424211327506,0.0006705094296176374,0.012320631316769056
combined_all,0.09065166211689518,0.07514510131651131,0.055313979851303596,0.0002483807890348099,0.012972284370187543
